starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 26 18:17:52 2014	1395847072	3	9	12	9
Wed Mar 26 18:17:52 2014	1395847072	3	12	15	7
Wed Mar 26 18:17:52 2014	1395847072	3	17	19	16
Wed Mar 26 18:17:52 2014	1395847072	3	17	20	12
Wed Mar 26 18:17:52 2014	1395847072	3	17	20	5
Wed Mar 26 18:17:52 2014	1395847072	3	22	25	3
Wed Mar 26 18:17:52 2014	1395847072	3	25	28	14
Wed Mar 26 18:17:52 2014	1395847072	3	31	33	25
Wed Mar 26 18:17:52 2014	1395847072	3	33	36	22
Wed Mar 26 18:17:52 2014	1395847072	3	34	37	20
Wed Mar 26 18:17:52 2014	1395847072	3	34	37	33
Wed Mar 26 18:17:52 2014	1395847072	3	35	37	28
Wed Mar 26 18:17:52 2014	1395847072	3	35	38	31
Wed Mar 26 18:17:52 2014	1395847072	3	42	45	40
Wed Mar 26 18:17:52 2014	1395847072	3	43	46	37
Wed Mar 26 18:17:52 2014	1395847072	3	47	50	42
Wed Mar 26 18:17:52 2014	1395847072	3	48	50	45
Wed Mar 26 18:17:52 2014	1395847072	3	50	53	47
Wed Mar 26 18:17:52 2014	1395847072	3	51	54	50
Wed Mar 26 18:17:52 2014	1395847072	3	55	57	54
Wed Mar 26 18:17:52 2014	1395847072	3	61	63	53
Wed Mar 26 18:17:52 2014	1395847072	3	61	64	61
Wed Mar 26 18:17:52 2014	1395847072	3	61	64	57
Wed Mar 26 18:17:52 2014	1395847072	3	61	64	59
Wed Mar 26 18:17:52 2014	1395847072	2	66	68	64
Wed Mar 26 18:17:52 2014	1395847072	2	71	73	66
Wed Mar 26 18:17:52 2014	1395847072	2	75	78	75
Wed Mar 26 18:17:52 2014	1395847072	2	75	78	70
Wed Mar 26 18:17:52 2014	1395847072	2	76	78	73
Wed Mar 26 18:17:52 2014	1395847072	2	76	78	68
Wed Mar 26 18:17:52 2014	1395847072	2	78	81	78
Wed Mar 26 18:17:52 2014	1395847072	2	83	86	81
Wed Mar 26 18:17:52 2014	1395847072	2	84	86	83
Wed Mar 26 18:17:52 2014	1395847072	2	91	93	86
Wed Mar 26 18:17:52 2014	1395847072	2	91	93	88
Wed Mar 26 18:17:52 2014	1395847072	2	94	96	90
Wed Mar 26 18:17:52 2014	1395847072	2	98	100	93
Wed Mar 26 18:17:52 2014	1395847072	2	99	101	96
Wed Mar 26 18:17:52 2014	1395847072	2	102	104	101
Wed Mar 26 18:17:52 2014	1395847072	2	108	111	104
Wed Mar 26 18:17:52 2014	1395847072	2	109	111	108
Wed Mar 26 18:17:52 2014	1395847072	2	111	114	111
Wed Mar 26 18:17:52 2014	1395847072	2	112	114	99
Wed Mar 26 18:17:52 2014	1395847072	2	114	116	106
Wed Mar 26 18:17:52 2014	1395847072	2	114	117	114
Wed Mar 26 18:17:52 2014	1395847072	2	120	122	117
Wed Mar 26 18:17:52 2014	1395847072	2	120	122	119
Wed Mar 26 18:17:52 2014	1395847072	2	126	128	123
Wed Mar 26 18:17:52 2014	1395847072	2	133	135	125
Wed Mar 26 18:17:52 2014	1395847072	2	138	140	135
Wed Mar 26 18:17:52 2014	1395847072	2	141	144	138
Wed Mar 26 18:17:52 2014	1395847072	2	145	147	140
Wed Mar 26 18:17:52 2014	1395847072	2	147	149	141
Wed Mar 26 18:17:52 2014	1395847072	2	147	149	147
Wed Mar 26 18:17:52 2014	1395847072	2	147	149	133
Wed Mar 26 18:17:52 2014	1395847072	2	152	154	145
Wed Mar 26 18:17:52 2014	1395847072	2	152	154	149
Wed Mar 26 18:17:52 2014	1395847072	2	155	157	143
Wed Mar 26 18:17:52 2014	1395847072	2	155	157	154
Wed Mar 26 18:17:52 2014	1395847072	2	156	158	152
Wed Mar 26 18:17:52 2014	1395847072	2	158	160	158
Wed Mar 26 18:17:52 2014	1395847072	2	163	164	162
Wed Mar 26 18:17:52 2014	1395847072	2	163	165	160
Wed Mar 26 18:17:52 2014	1395847072	2	170	171	165
Wed Mar 26 18:17:52 2014	1395847072	2	170	171	164
Wed Mar 26 18:17:52 2014	1395847072	2	178	180	169
Wed Mar 26 18:17:52 2014	1395847072	2	179	180	174
Wed Mar 26 18:17:52 2014	1395847072	2	179	180	171
Wed Mar 26 18:17:52 2014	1395847072	2	179	181	172
Wed Mar 26 18:17:52 2014	1395847072	2	179	181	167
Wed Mar 26 18:17:52 2014	1395847072	2	179	181	178
Wed Mar 26 18:17:53 2014	1395847073	0	183	183	172
Wed Mar 26 18:17:53 2014	1395847073	0	183	183	180
Wed Mar 26 18:17:52 2014	1395847072	2	182	184	181
Wed Mar 26 18:17:52 2014	1395847072	2	182	184	182
Wed Mar 26 18:17:53 2014	1395847073	0	184	184	182
Wed Mar 26 18:17:52 2014	1395847072	2	182	184	176
Wed Mar 26 18:17:52 2014	1395847072	2	183	185	183
Wed Mar 26 18:17:53 2014	1395847073	0	186	186	185
Wed Mar 26 18:17:53 2014	1395847073	0	187	187	185
Wed Mar 26 18:17:52 2014	1395847072	2	186	188	186
Wed Mar 26 18:17:52 2014	1395847072	2	188	190	188
Wed Mar 26 18:17:53 2014	1395847073	0	190	190	190
Wed Mar 26 18:17:53 2014	1395847073	0	191	191	189
Wed Mar 26 18:17:53 2014	1395847073	0	191	191	189
Wed Mar 26 18:17:53 2014	1395847073	0	191	191	185
Wed Mar 26 18:17:53 2014	1395847073	0	192	192	187
Wed Mar 26 18:17:53 2014	1395847073	0	192	192	190
Wed Mar 26 18:17:53 2014	1395847073	0	192	192	189
Wed Mar 26 18:17:53 2014	1395847073	0	193	193	192
Wed Mar 26 18:17:53 2014	1395847073	0	193	193	193
Wed Mar 26 18:17:53 2014	1395847073	0	194	194	194
Wed Mar 26 18:17:53 2014	1395847073	0	194	194	194
Wed Mar 26 18:17:53 2014	1395847073	0	195	195	194
Wed Mar 26 18:17:53 2014	1395847073	0	195	195	193
Wed Mar 26 18:17:53 2014	1395847073	0	195	195	194
Wed Mar 26 18:17:53 2014	1395847073	0	195	195	192
Wed Mar 26 18:17:53 2014	1395847073	0	196	196	194
Wed Mar 26 18:17:53 2014	1395847073	0	196	196	196
Wed Mar 26 18:17:53 2014	1395847073	0	196	196	191
Wed Mar 26 18:17:53 2014	1395847073	0	197	197	196
Wed Mar 26 18:17:53 2014	1395847073	0	197	197	196
Wed Mar 26 18:17:53 2014	1395847073	0	197	197	196
Wed Mar 26 18:17:53 2014	1395847073	0	197	197	195
Wed Mar 26 18:17:53 2014	1395847073	0	197	197	197
Wed Mar 26 18:17:53 2014	1395847073	0	197	198	197
Wed Mar 26 18:17:53 2014	1395847073	0	198	198	197
Wed Mar 26 18:17:53 2014	1395847073	0	198	198	198
Wed Mar 26 18:17:53 2014	1395847073	0	198	198	196
Wed Mar 26 18:17:53 2014	1395847073	0	198	198	196
Wed Mar 26 18:17:53 2014	1395847073	0	198	198	196
Wed Mar 26 18:17:53 2014	1395847073	0	198	198	190
Wed Mar 26 18:17:53 2014	1395847073	0	198	198	198
Wed Mar 26 18:17:53 2014	1395847073	0	198	198	198
Wed Mar 26 18:17:53 2014	1395847073	0	198	198	198
Wed Mar 26 18:17:53 2014	1395847073	0	199	199	199
Wed Mar 26 18:17:53 2014	1395847073	0	199	199	194
Wed Mar 26 18:17:53 2014	1395847073	0	199	200	199
Wed Mar 26 18:17:53 2014	1395847073	0	200	200	197
Wed Mar 26 18:17:52 2014	1395847072	2	198	200	195
Wed Mar 26 18:17:53 2014	1395847073	0	200	200	197
Wed Mar 26 18:17:53 2014	1395847073	0	200	200	198
Wed Mar 26 18:17:53 2014	1395847073	0	200	200	195
Wed Mar 26 18:17:52 2014	1395847072	2	198	200	193
Wed Mar 26 18:17:53 2014	1395847073	0	200	200	199
Wed Mar 26 18:17:53 2014	1395847073	0	200	200	200
Wed Mar 26 18:17:52 2014	1395847072	2	199	200	192
Wed Mar 26 18:17:53 2014	1395847073	0	200	200	193
Wed Mar 26 18:17:53 2014	1395847073	0	200	200	199
Wed Mar 26 18:17:53 2014	1395847073	0	200	200	197
Wed Mar 26 18:17:53 2014	1395847073	0	200	200	198
Wed Mar 26 18:17:52 2014	1395847072	2	199	200	190
Wed Mar 26 18:17:53 2014	1395847073	0	200	200	200
Wed Mar 26 18:17:52 2014	1395847072	2	199	200	197
Wed Mar 26 18:17:53 2014	1395847073	0	201	201	199
Wed Mar 26 18:17:53 2014	1395847073	0	201	201	198
Wed Mar 26 18:17:53 2014	1395847073	0	201	201	198
Wed Mar 26 18:17:53 2014	1395847073	0	201	201	198
Wed Mar 26 18:17:53 2014	1395847073	0	201	201	201
Wed Mar 26 18:17:53 2014	1395847073	0	202	202	194
Wed Mar 26 18:17:53 2014	1395847073	0	202	202	201
Wed Mar 26 18:17:53 2014	1395847073	0	202	202	199
Wed Mar 26 18:17:53 2014	1395847073	0	202	202	202
Wed Mar 26 18:17:53 2014	1395847073	0	202	202	200
Wed Mar 26 18:17:53 2014	1395847073	0	202	202	198
Wed Mar 26 18:17:53 2014	1395847073	0	202	202	202
Wed Mar 26 18:17:53 2014	1395847073	0	202	202	198
Wed Mar 26 18:17:53 2014	1395847073	0	202	202	199
Wed Mar 26 18:17:53 2014	1395847073	0	202	202	200
