starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 26 18:16:24 2014	1395846984	0	19	19	18
Wed Mar 26 18:16:24 2014	1395846984	0	21	21	20
Wed Mar 26 18:16:24 2014	1395846984	0	22	22	22
Wed Mar 26 18:16:25 2014	1395846985	0	24	24	24
Wed Mar 26 18:16:25 2014	1395846985	0	26	26	25
Wed Mar 26 18:16:23 2014	1395846983	0	29	29	26
Wed Mar 26 18:16:22 2014	1395846982	0	29	29	28
Wed Mar 26 18:16:25 2014	1395846985	0	29	29	28
Wed Mar 26 18:16:24 2014	1395846984	0	30	30	27
Wed Mar 26 18:16:24 2014	1395846984	0	30	30	30
Wed Mar 26 18:16:23 2014	1395846983	0	30	31	30
Wed Mar 26 18:16:24 2014	1395846984	0	31	31	30
Wed Mar 26 18:16:23 2014	1395846983	0	31	31	28
Wed Mar 26 18:16:22 2014	1395846982	0	31	31	31
Wed Mar 26 18:16:24 2014	1395846984	0	31	31	31
Wed Mar 26 18:16:22 2014	1395846982	0	31	31	31
Wed Mar 26 18:16:23 2014	1395846983	0	32	32	31
Wed Mar 26 18:16:24 2014	1395846984	0	32	32	31
Wed Mar 26 18:16:22 2014	1395846982	0	32	32	32
Wed Mar 26 18:16:23 2014	1395846983	0	32	32	32
Wed Mar 26 18:16:22 2014	1395846982	0	32	32	31
Wed Mar 26 18:16:24 2014	1395846984	0	32	33	31
Wed Mar 26 18:16:24 2014	1395846984	0	33	33	32
Wed Mar 26 18:16:24 2014	1395846984	0	33	33	30
Wed Mar 26 18:16:23 2014	1395846983	0	33	33	31
Wed Mar 26 18:16:25 2014	1395846985	0	33	33	32
Wed Mar 26 18:16:22 2014	1395846982	0	33	33	33
Wed Mar 26 18:16:23 2014	1395846983	0	33	33	33
Wed Mar 26 18:16:25 2014	1395846985	0	33	33	32
Wed Mar 26 18:16:25 2014	1395846985	0	33	33	32
Wed Mar 26 18:16:23 2014	1395846983	0	34	34	32
Wed Mar 26 18:16:22 2014	1395846982	0	34	34	32
Wed Mar 26 18:16:23 2014	1395846983	0	35	35	34
Wed Mar 26 18:16:25 2014	1395846985	0	35	35	35
Wed Mar 26 18:16:22 2014	1395846982	0	35	35	34
Wed Mar 26 18:16:25 2014	1395846985	0	35	35	33
Wed Mar 26 18:16:25 2014	1395846985	0	35	35	35
Wed Mar 26 18:16:24 2014	1395846984	0	36	36	35
Wed Mar 26 18:16:25 2014	1395846985	0	36	36	35
Wed Mar 26 18:16:25 2014	1395846985	0	36	36	35
Wed Mar 26 18:16:25 2014	1395846985	0	36	36	35
Wed Mar 26 18:16:24 2014	1395846984	0	36	36	35
Wed Mar 26 18:16:25 2014	1395846985	0	36	36	34
Wed Mar 26 18:16:23 2014	1395846983	0	36	36	34
Wed Mar 26 18:16:23 2014	1395846983	0	36	36	35
Wed Mar 26 18:16:25 2014	1395846985	0	37	37	34
Wed Mar 26 18:16:24 2014	1395846984	0	37	37	36
Wed Mar 26 18:16:25 2014	1395846985	0	37	37	36
Wed Mar 26 18:16:24 2014	1395846984	0	37	37	37
Wed Mar 26 18:16:23 2014	1395846983	0	37	37	37
Wed Mar 26 18:16:23 2014	1395846983	0	37	37	37
Wed Mar 26 18:16:25 2014	1395846985	0	37	37	35
Wed Mar 26 18:16:25 2014	1395846985	0	37	37	37
Wed Mar 26 18:16:25 2014	1395846985	0	38	38	35
Wed Mar 26 18:16:24 2014	1395846984	0	38	38	37
Wed Mar 26 18:16:23 2014	1395846983	0	38	38	37
Wed Mar 26 18:16:24 2014	1395846984	0	38	38	38
Wed Mar 26 18:16:24 2014	1395846984	0	39	39	38
Wed Mar 26 18:16:25 2014	1395846985	0	39	39	38
Wed Mar 26 18:16:25 2014	1395846985	0	40	40	38
Wed Mar 26 18:16:25 2014	1395846985	0	40	40	39
Wed Mar 26 18:16:24 2014	1395846984	0	40	40	31
Wed Mar 26 18:16:22 2014	1395846982	0	40	40	40
Wed Mar 26 18:16:24 2014	1395846984	0	40	40	40
Wed Mar 26 18:16:25 2014	1395846985	0	40	40	40
Wed Mar 26 18:16:25 2014	1395846985	0	41	41	40
Wed Mar 26 18:16:23 2014	1395846983	0	41	41	40
Wed Mar 26 18:16:24 2014	1395846984	0	41	41	40
Wed Mar 26 18:16:25 2014	1395846985	0	41	41	38
Wed Mar 26 18:16:24 2014	1395846984	0	41	41	41
Wed Mar 26 18:16:23 2014	1395846983	0	42	42	41
Wed Mar 26 18:16:23 2014	1395846983	0	43	43	40
Wed Mar 26 18:16:24 2014	1395846984	0	43	43	40
Wed Mar 26 18:16:24 2014	1395846984	0	43	43	43
Wed Mar 26 18:16:23 2014	1395846983	0	44	44	43
Wed Mar 26 18:16:25 2014	1395846985	0	45	45	43
Wed Mar 26 18:16:24 2014	1395846984	0	46	46	45
Wed Mar 26 18:16:22 2014	1395846982	0	46	46	43
Wed Mar 26 18:16:23 2014	1395846983	0	46	46	45
Wed Mar 26 18:16:25 2014	1395846985	0	46	46	45
Wed Mar 26 18:16:23 2014	1395846983	0	46	46	46
Wed Mar 26 18:16:23 2014	1395846983	0	46	46	46
Wed Mar 26 18:16:23 2014	1395846983	0	46	47	46
Wed Mar 26 18:16:24 2014	1395846984	0	47	47	44
Wed Mar 26 18:16:24 2014	1395846984	0	47	47	47
Wed Mar 26 18:16:22 2014	1395846982	0	47	48	45
Wed Mar 26 18:16:22 2014	1395846982	0	48	48	46
Wed Mar 26 18:16:22 2014	1395846982	0	48	48	48
Wed Mar 26 18:16:25 2014	1395846985	0	49	49	46
Wed Mar 26 18:16:25 2014	1395846985	0	49	49	49
Wed Mar 26 18:16:25 2014	1395846985	0	49	49	49
Wed Mar 26 18:16:24 2014	1395846984	0	50	50	49
Wed Mar 26 18:16:25 2014	1395846985	0	50	50	47
Wed Mar 26 18:16:22 2014	1395846982	0	50	50	49
Wed Mar 26 18:16:22 2014	1395846982	0	50	50	50
Wed Mar 26 18:16:24 2014	1395846984	0	50	50	49
Wed Mar 26 18:16:24 2014	1395846984	0	51	51	51
Wed Mar 26 18:16:25 2014	1395846985	0	51	51	50
Wed Mar 26 18:16:23 2014	1395846983	0	51	51	48
Wed Mar 26 18:16:25 2014	1395846985	0	51	51	50
Wed Mar 26 18:16:22 2014	1395846982	0	52	52	51
Wed Mar 26 18:16:24 2014	1395846984	0	52	52	52
Wed Mar 26 18:16:22 2014	1395846982	0	54	54	54
