starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 26 18:17:22 2014	1395847042	0	36	36	36
Wed Mar 26 18:17:19 2014	1395847039	3	40	43	40
Wed Mar 26 18:17:19 2014	1395847039	3	47	50	46
Wed Mar 26 18:17:20 2014	1395847040	0	53	54	51
Wed Mar 26 18:17:19 2014	1395847039	3	51	54	38
Wed Mar 26 18:17:19 2014	1395847039	3	51	54	42
Wed Mar 26 18:17:21 2014	1395847041	0	61	61	60
Wed Mar 26 18:17:19 2014	1395847039	3	60	63	50
Wed Mar 26 18:17:19 2014	1395847039	3	61	64	33
Wed Mar 26 18:17:20 2014	1395847040	0	66	66	64
Wed Mar 26 18:17:19 2014	1395847039	3	64	67	36
Wed Mar 26 18:17:19 2014	1395847039	3	64	67	44
Wed Mar 26 18:17:20 2014	1395847040	0	68	68	68
Wed Mar 26 18:17:19 2014	1395847039	3	67	69	60
Wed Mar 26 18:17:19 2014	1395847039	3	67	70	58
Wed Mar 26 18:17:19 2014	1395847039	3	67	70	63
Wed Mar 26 18:17:19 2014	1395847039	3	67	70	54
Wed Mar 26 18:17:21 2014	1395847041	0	74	74	71
Wed Mar 26 18:17:20 2014	1395847040	0	76	76	76
Wed Mar 26 18:17:19 2014	1395847039	3	74	77	74
Wed Mar 26 18:17:19 2014	1395847039	3	75	78	69
Wed Mar 26 18:17:19 2014	1395847039	3	75	78	66
Wed Mar 26 18:17:19 2014	1395847039	3	75	78	72
Wed Mar 26 18:17:19 2014	1395847039	3	78	81	78
Wed Mar 26 18:17:19 2014	1395847039	3	81	84	80
Wed Mar 26 18:17:19 2014	1395847039	3	83	86	83
Wed Mar 26 18:17:19 2014	1395847039	3	86	89	85
Wed Mar 26 18:17:20 2014	1395847040	0	89	89	87
Wed Mar 26 18:17:21 2014	1395847041	0	92	92	90
Wed Mar 26 18:17:21 2014	1395847041	0	93	93	93
Wed Mar 26 18:17:19 2014	1395847039	3	91	94	88
Wed Mar 26 18:17:19 2014	1395847039	3	91	94	91
Wed Mar 26 18:17:21 2014	1395847041	0	95	95	95
Wed Mar 26 18:17:21 2014	1395847041	0	95	96	95
Wed Mar 26 18:17:21 2014	1395847041	0	99	99	98
Wed Mar 26 18:17:19 2014	1395847039	3	97	100	97
Wed Mar 26 18:17:20 2014	1395847040	0	102	102	101
Wed Mar 26 18:17:19 2014	1395847039	3	100	103	94
Wed Mar 26 18:17:22 2014	1395847042	0	103	103	98
Wed Mar 26 18:17:20 2014	1395847040	0	103	103	103
Wed Mar 26 18:17:20 2014	1395847040	0	104	104	103
Wed Mar 26 18:17:19 2014	1395847039	3	102	105	99
Wed Mar 26 18:17:19 2014	1395847039	3	106	109	105
Wed Mar 26 18:17:19 2014	1395847039	3	106	109	102
Wed Mar 26 18:17:22 2014	1395847042	0	109	109	109
Wed Mar 26 18:17:21 2014	1395847041	0	116	116	115
Wed Mar 26 18:17:21 2014	1395847041	0	116	116	116
Wed Mar 26 18:17:21 2014	1395847041	0	120	120	119
Wed Mar 26 18:17:21 2014	1395847041	0	121	121	120
Wed Mar 26 18:17:21 2014	1395847041	0	122	122	119
Wed Mar 26 18:17:20 2014	1395847040	0	123	123	122
Wed Mar 26 18:17:20 2014	1395847040	0	124	124	123
Wed Mar 26 18:17:19 2014	1395847039	3	121	124	111
Wed Mar 26 18:17:19 2014	1395847039	3	121	124	109
Wed Mar 26 18:17:19 2014	1395847039	3	122	124	113
Wed Mar 26 18:17:20 2014	1395847040	0	124	125	124
Wed Mar 26 18:17:19 2014	1395847039	3	122	125	116
Wed Mar 26 18:17:19 2014	1395847039	3	122	125	118
Wed Mar 26 18:17:21 2014	1395847041	0	125	125	123
Wed Mar 26 18:17:20 2014	1395847040	0	133	133	130
Wed Mar 26 18:17:19 2014	1395847039	3	131	133	121
Wed Mar 26 18:17:20 2014	1395847040	0	134	134	133
Wed Mar 26 18:17:21 2014	1395847041	0	134	134	134
Wed Mar 26 18:17:21 2014	1395847041	0	136	136	135
Wed Mar 26 18:17:19 2014	1395847039	3	136	139	133
Wed Mar 26 18:17:19 2014	1395847039	3	136	139	136
Wed Mar 26 18:17:22 2014	1395847042	0	140	140	139
Wed Mar 26 18:17:22 2014	1395847042	0	140	140	136
Wed Mar 26 18:17:20 2014	1395847040	0	141	141	140
Wed Mar 26 18:17:20 2014	1395847040	0	141	141	135
Wed Mar 26 18:17:19 2014	1395847039	3	139	142	139
Wed Mar 26 18:17:22 2014	1395847042	0	145	145	142
Wed Mar 26 18:17:20 2014	1395847040	0	145	145	143
Wed Mar 26 18:17:21 2014	1395847041	0	147	147	146
Wed Mar 26 18:17:19 2014	1395847039	3	145	147	141
Wed Mar 26 18:17:20 2014	1395847040	0	149	149	148
Wed Mar 26 18:17:19 2014	1395847039	3	147	150	144
Wed Mar 26 18:17:21 2014	1395847041	0	150	150	150
Wed Mar 26 18:17:20 2014	1395847040	0	150	150	150
Wed Mar 26 18:17:21 2014	1395847041	0	150	151	150
Wed Mar 26 18:17:21 2014	1395847041	0	151	151	150
Wed Mar 26 18:17:21 2014	1395847041	0	153	153	150
Wed Mar 26 18:17:20 2014	1395847040	0	153	153	152
Wed Mar 26 18:17:20 2014	1395847040	0	153	153	153
Wed Mar 26 18:17:20 2014	1395847040	0	153	154	153
Wed Mar 26 18:17:21 2014	1395847041	0	154	154	153
Wed Mar 26 18:17:21 2014	1395847041	0	154	154	152
Wed Mar 26 18:17:19 2014	1395847039	3	152	155	152
Wed Mar 26 18:17:19 2014	1395847039	3	152	155	150
Wed Mar 26 18:17:20 2014	1395847040	0	156	156	151
Wed Mar 26 18:17:20 2014	1395847040	0	158	158	157
Wed Mar 26 18:17:20 2014	1395847040	0	158	158	155
Wed Mar 26 18:17:19 2014	1395847039	3	158	160	157
Wed Mar 26 18:17:19 2014	1395847039	3	158	160	155
Wed Mar 26 18:17:20 2014	1395847040	0	160	161	159
Wed Mar 26 18:17:21 2014	1395847041	0	162	162	161
Wed Mar 26 18:17:22 2014	1395847042	0	162	162	161
Wed Mar 26 18:17:19 2014	1395847039	3	160	163	147
Wed Mar 26 18:17:19 2014	1395847039	2	161	163	160
Wed Mar 26 18:17:22 2014	1395847042	0	165	165	165
Wed Mar 26 18:17:22 2014	1395847042	0	166	166	163
Wed Mar 26 18:17:20 2014	1395847040	0	166	166	166
Wed Mar 26 18:17:21 2014	1395847041	0	166	166	166
Wed Mar 26 18:17:20 2014	1395847040	0	167	167	166
Wed Mar 26 18:17:21 2014	1395847041	0	167	167	167
Wed Mar 26 18:17:22 2014	1395847042	0	168	168	167
Wed Mar 26 18:17:20 2014	1395847040	0	168	168	167
Wed Mar 26 18:17:19 2014	1395847039	2	166	168	166
Wed Mar 26 18:17:21 2014	1395847041	0	169	170	168
Wed Mar 26 18:17:21 2014	1395847041	0	171	171	170
Wed Mar 26 18:17:19 2014	1395847039	2	168	171	163
Wed Mar 26 18:17:20 2014	1395847040	0	172	172	171
Wed Mar 26 18:17:20 2014	1395847040	0	172	172	171
Wed Mar 26 18:17:21 2014	1395847041	0	172	172	171
Wed Mar 26 18:17:21 2014	1395847041	0	172	172	170
Wed Mar 26 18:17:20 2014	1395847040	0	172	172	172
Wed Mar 26 18:17:21 2014	1395847041	0	174	174	174
Wed Mar 26 18:17:22 2014	1395847042	0	176	176	175
Wed Mar 26 18:17:20 2014	1395847040	0	176	176	175
Wed Mar 26 18:17:22 2014	1395847042	0	176	176	171
Wed Mar 26 18:17:19 2014	1395847039	2	174	176	168
Wed Mar 26 18:17:20 2014	1395847040	0	176	176	176
Wed Mar 26 18:17:19 2014	1395847039	2	177	179	173
Wed Mar 26 18:17:21 2014	1395847041	0	181	181	179
Wed Mar 26 18:17:22 2014	1395847042	0	181	181	178
Wed Mar 26 18:17:19 2014	1395847039	2	179	182	176
Wed Mar 26 18:17:22 2014	1395847042	0	183	183	182
Wed Mar 26 18:17:22 2014	1395847042	0	183	183	183
Wed Mar 26 18:17:20 2014	1395847040	0	184	184	184
Wed Mar 26 18:17:19 2014	1395847039	2	182	185	171
Wed Mar 26 18:17:19 2014	1395847039	2	183	185	181
Wed Mar 26 18:17:20 2014	1395847040	0	185	185	185
Wed Mar 26 18:17:20 2014	1395847040	0	187	187	186
Wed Mar 26 18:17:22 2014	1395847042	0	187	187	185
Wed Mar 26 18:17:20 2014	1395847040	0	187	187	182
Wed Mar 26 18:17:19 2014	1395847039	2	185	187	179
Wed Mar 26 18:17:21 2014	1395847041	0	188	188	185
Wed Mar 26 18:17:21 2014	1395847041	0	188	188	184
Wed Mar 26 18:17:20 2014	1395847040	0	189	189	184
Wed Mar 26 18:17:21 2014	1395847041	0	189	189	186
Wed Mar 26 18:17:20 2014	1395847040	0	191	191	190
Wed Mar 26 18:17:22 2014	1395847042	0	191	191	190
Wed Mar 26 18:17:20 2014	1395847040	0	191	191	188
Wed Mar 26 18:17:22 2014	1395847042	0	191	191	190
