starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 26 18:15:08 2014	1395846908	0	16	16	16
Wed Mar 26 18:15:11 2014	1395846911	0	17	18	17
Wed Mar 26 18:15:10 2014	1395846910	0	20	20	19
Wed Mar 26 18:15:08 2014	1395846908	0	20	20	19
Wed Mar 26 18:15:08 2014	1395846908	0	21	22	21
Wed Mar 26 18:15:11 2014	1395846911	0	23	23	21
Wed Mar 26 18:15:08 2014	1395846908	0	24	24	23
Wed Mar 26 18:15:07 2014	1395846907	0	24	24	23
Wed Mar 26 18:15:08 2014	1395846908	0	24	24	24
Wed Mar 26 18:15:10 2014	1395846910	0	25	25	23
Wed Mar 26 18:15:08 2014	1395846908	0	25	25	24
Wed Mar 26 18:15:09 2014	1395846909	0	25	25	24
Wed Mar 26 18:15:10 2014	1395846910	0	25	26	25
Wed Mar 26 18:15:10 2014	1395846910	0	26	26	25
Wed Mar 26 18:15:11 2014	1395846911	0	26	26	26
Wed Mar 26 18:15:08 2014	1395846908	0	26	26	26
Wed Mar 26 18:15:07 2014	1395846907	3	24	27	23
Wed Mar 26 18:15:09 2014	1395846909	0	27	27	26
Wed Mar 26 18:15:11 2014	1395846911	0	27	27	26
Wed Mar 26 18:15:10 2014	1395846910	0	27	27	26
Wed Mar 26 18:15:10 2014	1395846910	0	27	27	27
Wed Mar 26 18:15:08 2014	1395846908	0	27	27	27
Wed Mar 26 18:15:08 2014	1395846908	0	28	28	27
Wed Mar 26 18:15:10 2014	1395846910	0	28	28	27
Wed Mar 26 18:15:09 2014	1395846909	0	28	28	26
Wed Mar 26 18:15:09 2014	1395846909	0	28	28	27
Wed Mar 26 18:15:09 2014	1395846909	0	28	29	28
Wed Mar 26 18:15:09 2014	1395846909	0	29	29	28
Wed Mar 26 18:15:08 2014	1395846908	0	29	29	28
Wed Mar 26 18:15:08 2014	1395846908	0	29	29	27
Wed Mar 26 18:15:09 2014	1395846909	0	29	29	29
Wed Mar 26 18:15:09 2014	1395846909	0	29	29	29
Wed Mar 26 18:15:11 2014	1395846911	0	29	29	29
Wed Mar 26 18:15:09 2014	1395846909	0	30	30	28
Wed Mar 26 18:15:09 2014	1395846909	0	30	30	27
Wed Mar 26 18:15:08 2014	1395846908	0	30	30	29
Wed Mar 26 18:15:09 2014	1395846909	0	30	30	29
Wed Mar 26 18:15:10 2014	1395846910	0	30	30	29
Wed Mar 26 18:15:10 2014	1395846910	0	30	30	29
Wed Mar 26 18:15:10 2014	1395846910	0	30	30	30
Wed Mar 26 18:15:08 2014	1395846908	0	30	30	30
Wed Mar 26 18:15:08 2014	1395846908	0	30	30	29
Wed Mar 26 18:15:09 2014	1395846909	0	30	30	30
Wed Mar 26 18:15:10 2014	1395846910	0	30	30	29
Wed Mar 26 18:15:09 2014	1395846909	0	30	30	29
Wed Mar 26 18:15:10 2014	1395846910	0	30	30	29
Wed Mar 26 18:15:10 2014	1395846910	0	30	30	30
Wed Mar 26 18:15:08 2014	1395846908	0	30	31	30
Wed Mar 26 18:15:08 2014	1395846908	0	31	31	30
Wed Mar 26 18:15:10 2014	1395846910	0	31	31	30
Wed Mar 26 18:15:08 2014	1395846908	0	31	31	30
Wed Mar 26 18:15:08 2014	1395846908	0	31	31	31
Wed Mar 26 18:15:09 2014	1395846909	0	32	32	31
Wed Mar 26 18:15:09 2014	1395846909	0	32	32	31
Wed Mar 26 18:15:08 2014	1395846908	0	32	32	32
Wed Mar 26 18:15:08 2014	1395846908	0	32	32	30
Wed Mar 26 18:15:11 2014	1395846911	0	33	33	30
Wed Mar 26 18:15:08 2014	1395846908	0	33	33	32
Wed Mar 26 18:15:08 2014	1395846908	0	33	33	32
Wed Mar 26 18:15:08 2014	1395846908	0	33	33	33
Wed Mar 26 18:15:08 2014	1395846908	0	33	33	30
Wed Mar 26 18:15:09 2014	1395846909	0	33	33	33
Wed Mar 26 18:15:08 2014	1395846908	0	33	33	33
Wed Mar 26 18:15:10 2014	1395846910	0	33	33	31
Wed Mar 26 18:15:08 2014	1395846908	0	33	33	33
Wed Mar 26 18:15:09 2014	1395846909	0	33	33	33
Wed Mar 26 18:15:08 2014	1395846908	0	34	34	31
Wed Mar 26 18:15:10 2014	1395846910	0	34	34	34
Wed Mar 26 18:15:09 2014	1395846909	0	34	34	32
Wed Mar 26 18:15:09 2014	1395846909	0	34	34	34
Wed Mar 26 18:15:09 2014	1395846909	0	34	35	34
