starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 16:08:28 2014	1393852108	28	68	96	67
Mon Mar 03 16:08:28 2014	1393852108	28	68	96	68
Mon Mar 03 16:08:28 2014	1393852108	28	68	96	68
Mon Mar 03 16:08:28 2014	1393852108	28	68	96	68
Mon Mar 03 16:08:28 2014	1393852108	28	68	96	68
Mon Mar 03 16:08:28 2014	1393852108	29	67	96	67
Mon Mar 03 16:08:28 2014	1393852108	28	68	96	68
Mon Mar 03 16:08:28 2014	1393852108	28	68	96	68
Mon Mar 03 16:08:28 2014	1393852108	30	66	96	66
Mon Mar 03 16:08:28 2014	1393852108	28	68	96	68
Mon Mar 03 16:08:28 2014	1393852108	28	69	96	69
Mon Mar 03 16:08:28 2014	1393852108	29	67	97	67
Mon Mar 03 16:08:28 2014	1393852108	29	68	97	68
Mon Mar 03 16:08:28 2014	1393852108	28	69	97	68
Mon Mar 03 16:08:28 2014	1393852108	28	69	97	68
Mon Mar 03 16:08:28 2014	1393852108	30	67	97	67
Mon Mar 03 16:08:28 2014	1393852108	28	69	97	68
Mon Mar 03 16:08:28 2014	1393852108	29	68	97	68
Mon Mar 03 16:08:28 2014	1393852108	28	69	97	68
Mon Mar 03 16:08:28 2014	1393852108	28	69	97	68
Mon Mar 03 16:08:28 2014	1393852108	29	68	97	68
Mon Mar 03 16:08:28 2014	1393852108	29	68	97	67
Mon Mar 03 16:08:28 2014	1393852108	29	68	97	68
Mon Mar 03 16:08:28 2014	1393852108	28	69	97	69
Mon Mar 03 16:08:28 2014	1393852108	28	69	97	69
Mon Mar 03 16:08:28 2014	1393852108	29	68	97	68
Mon Mar 03 16:08:28 2014	1393852108	28	69	97	69
Mon Mar 03 16:08:28 2014	1393852108	29	68	97	68
Mon Mar 03 16:08:28 2014	1393852108	28	69	97	69
Mon Mar 03 16:08:28 2014	1393852108	30	67	97	67
Mon Mar 03 16:08:28 2014	1393852108	29	69	97	69
Mon Mar 03 16:08:27 2014	1393852107	29	69	97	68
Mon Mar 03 16:08:28 2014	1393852108	28	70	98	69
Mon Mar 03 16:08:28 2014	1393852108	28	69	98	69
Mon Mar 03 16:08:28 2014	1393852108	28	70	98	69
Mon Mar 03 16:08:28 2014	1393852108	29	69	98	68
Mon Mar 03 16:08:28 2014	1393852108	28	70	98	70
Mon Mar 03 16:08:28 2014	1393852108	30	68	98	68
Mon Mar 03 16:08:28 2014	1393852108	30	68	98	68
Mon Mar 03 16:08:28 2014	1393852108	29	69	98	69
Mon Mar 03 16:08:28 2014	1393852108	29	69	98	69
Mon Mar 03 16:08:28 2014	1393852108	30	68	98	68
Mon Mar 03 16:08:28 2014	1393852108	28	70	98	69
Mon Mar 03 16:08:28 2014	1393852108	28	70	98	69
Mon Mar 03 16:08:28 2014	1393852108	29	69	98	68
Mon Mar 03 16:08:28 2014	1393852108	29	69	98	69
Mon Mar 03 16:08:28 2014	1393852108	28	70	98	69
Mon Mar 03 16:08:28 2014	1393852108	31	68	98	68
Mon Mar 03 16:08:28 2014	1393852108	29	69	98	69
Mon Mar 03 16:08:28 2014	1393852108	28	70	98	70
Mon Mar 03 16:08:28 2014	1393852108	29	69	98	69
Mon Mar 03 16:08:28 2014	1393852108	29	69	98	69
Mon Mar 03 16:08:28 2014	1393852108	29	69	98	69
Mon Mar 03 16:08:28 2014	1393852108	29	70	98	69
Mon Mar 03 16:08:28 2014	1393852108	30	68	98	68
Mon Mar 03 16:08:27 2014	1393852107	31	68	98	68
Mon Mar 03 16:08:28 2014	1393852108	30	69	98	68
Mon Mar 03 16:08:28 2014	1393852108	29	70	99	70
Mon Mar 03 16:08:28 2014	1393852108	29	70	99	70
Mon Mar 03 16:08:28 2014	1393852108	29	70	99	70
Mon Mar 03 16:08:27 2014	1393852107	30	69	99	69
Mon Mar 03 16:08:28 2014	1393852108	30	69	99	69
