starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:56:26 2014	1393865786	0	31	31	7
Mon Mar 03 19:56:26 2014	1393865786	0	31	31	7
Mon Mar 03 19:56:26 2014	1393865786	0	51	51	30
Mon Mar 03 19:56:26 2014	1393865786	0	51	51	30
Mon Mar 03 19:56:26 2014	1393865786	0	51	51	30
Mon Mar 03 19:56:26 2014	1393865786	0	51	51	30
Mon Mar 03 19:56:26 2014	1393865786	0	51	51	30
Mon Mar 03 19:56:26 2014	1393865786	0	51	51	30
Mon Mar 03 19:56:26 2014	1393865786	0	51	51	30
Mon Mar 03 19:56:26 2014	1393865786	0	51	51	30
Mon Mar 03 19:56:26 2014	1393865786	0	51	51	30
Mon Mar 03 19:56:26 2014	1393865786	0	51	51	30
Mon Mar 03 19:56:26 2014	1393865786	0	70	70	51
Mon Mar 03 19:56:26 2014	1393865786	1	70	70	50
Mon Mar 03 19:56:26 2014	1393865786	1	70	70	50
Mon Mar 03 19:56:26 2014	1393865786	1	70	70	50
Mon Mar 03 19:56:26 2014	1393865786	1	70	70	50
Mon Mar 03 19:56:26 2014	1393865786	1	70	70	50
Mon Mar 03 19:56:26 2014	1393865786	0	70	70	50
Mon Mar 03 19:56:26 2014	1393865786	0	70	70	50
Mon Mar 03 19:56:26 2014	1393865786	0	70	70	50
Mon Mar 03 19:56:26 2014	1393865786	0	70	70	51
Mon Mar 03 19:56:26 2014	1393865786	1	102	103	70
Mon Mar 03 19:56:26 2014	1393865786	1	102	103	70
Mon Mar 03 19:56:26 2014	1393865786	1	102	103	69
Mon Mar 03 19:56:26 2014	1393865786	1	102	103	69
Mon Mar 03 19:56:26 2014	1393865786	1	102	103	69
Mon Mar 03 19:56:26 2014	1393865786	1	102	103	69
Mon Mar 03 19:56:26 2014	1393865786	1	102	103	69
Mon Mar 03 19:56:26 2014	1393865786	1	102	103	69
Mon Mar 03 19:56:26 2014	1393865786	1	102	103	69
Mon Mar 03 19:56:26 2014	1393865786	1	102	103	69
Mon Mar 03 19:56:26 2014	1393865786	1	130	131	102
Mon Mar 03 19:56:26 2014	1393865786	1	130	131	102
Mon Mar 03 19:56:26 2014	1393865786	1	130	131	102
Mon Mar 03 19:56:26 2014	1393865786	1	130	131	102
Mon Mar 03 19:56:26 2014	1393865786	1	130	131	102
Mon Mar 03 19:56:26 2014	1393865786	1	130	131	102
Mon Mar 03 19:56:26 2014	1393865786	1	130	131	102
Mon Mar 03 19:56:26 2014	1393865786	1	130	131	102
Mon Mar 03 19:56:26 2014	1393865786	1	130	131	102
Mon Mar 03 19:56:26 2014	1393865786	1	130	131	102
Mon Mar 03 19:56:26 2014	1393865786	1	151	152	130
Mon Mar 03 19:56:26 2014	1393865786	1	151	152	130
Mon Mar 03 19:56:26 2014	1393865786	1	151	152	130
Mon Mar 03 19:56:26 2014	1393865786	1	151	152	130
Mon Mar 03 19:56:26 2014	1393865786	1	151	152	130
Mon Mar 03 19:56:26 2014	1393865786	1	151	152	130
Mon Mar 03 19:56:26 2014	1393865786	1	151	152	130
Mon Mar 03 19:56:26 2014	1393865786	1	151	152	130
Mon Mar 03 19:56:26 2014	1393865786	1	151	152	130
Mon Mar 03 19:56:26 2014	1393865786	1	151	152	130
Mon Mar 03 19:56:26 2014	1393865786	1	170	172	151
Mon Mar 03 19:56:26 2014	1393865786	1	171	172	151
Mon Mar 03 19:56:26 2014	1393865786	1	171	172	151
Mon Mar 03 19:56:26 2014	1393865786	1	171	172	151
Mon Mar 03 19:56:26 2014	1393865786	1	171	172	151
Mon Mar 03 19:56:26 2014	1393865786	1	171	172	151
Mon Mar 03 19:56:26 2014	1393865786	1	171	172	151
Mon Mar 03 19:56:26 2014	1393865786	1	171	172	151
Mon Mar 03 19:56:26 2014	1393865786	1	171	172	151
Mon Mar 03 19:56:26 2014	1393865786	1	171	172	151
Mon Mar 03 19:56:26 2014	1393865786	1	190	192	171
Mon Mar 03 19:56:26 2014	1393865786	1	191	192	171
Mon Mar 03 19:56:26 2014	1393865786	1	191	192	171
Mon Mar 03 19:56:26 2014	1393865786	1	191	192	171
Mon Mar 03 19:56:26 2014	1393865786	1	190	192	171
Mon Mar 03 19:56:26 2014	1393865786	1	191	192	171
Mon Mar 03 19:56:26 2014	1393865786	1	191	192	171
Mon Mar 03 19:56:26 2014	1393865786	1	191	192	171
Mon Mar 03 19:56:26 2014	1393865786	1	191	192	171
Mon Mar 03 19:56:26 2014	1393865786	1	191	192	171
Mon Mar 03 19:56:26 2014	1393865786	0	208	208	188
Mon Mar 03 19:56:26 2014	1393865786	0	208	208	188
Mon Mar 03 19:56:26 2014	1393865786	0	208	208	188
Mon Mar 03 19:56:26 2014	1393865786	0	208	208	188
Mon Mar 03 19:56:26 2014	1393865786	0	208	208	188
Mon Mar 03 19:56:26 2014	1393865786	0	208	208	188
Mon Mar 03 19:56:26 2014	1393865786	0	208	208	188
Mon Mar 03 19:56:26 2014	1393865786	0	208	208	188
Mon Mar 03 19:56:26 2014	1393865786	0	208	208	188
Mon Mar 03 19:56:26 2014	1393865786	0	208	208	188
Mon Mar 03 19:56:26 2014	1393865786	0	208	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	208	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	208	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	208	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	208	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	208	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	209	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	209	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	209	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	208	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	209	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	209	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	209	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	209	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	208	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	209	209	189
Mon Mar 03 19:56:26 2014	1393865786	0	208	209	189
