starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:53:04 2014	1393865584	1	62	63	43
Mon Mar 03 19:53:04 2014	1393865584	0	62	63	43
Mon Mar 03 19:53:04 2014	1393865584	0	62	63	44
Mon Mar 03 19:53:04 2014	1393865584	0	63	63	44
Mon Mar 03 19:53:04 2014	1393865584	0	62	63	43
Mon Mar 03 19:53:04 2014	1393865584	0	62	63	43
Mon Mar 03 19:53:04 2014	1393865584	0	63	63	44
Mon Mar 03 19:53:04 2014	1393865584	0	63	63	44
Mon Mar 03 19:53:04 2014	1393865584	0	63	63	44
Mon Mar 03 19:53:04 2014	1393865584	0	63	63	44
Mon Mar 03 19:53:04 2014	1393865584	0	105	106	63
Mon Mar 03 19:53:04 2014	1393865584	0	105	106	62
Mon Mar 03 19:53:04 2014	1393865584	0	106	106	62
Mon Mar 03 19:53:04 2014	1393865584	0	105	106	62
Mon Mar 03 19:53:04 2014	1393865584	0	105	106	63
Mon Mar 03 19:53:04 2014	1393865584	0	105	106	63
Mon Mar 03 19:53:04 2014	1393865584	2	151	154	99
Mon Mar 03 19:53:04 2014	1393865584	2	151	154	99
Mon Mar 03 19:53:04 2014	1393865584	2	151	154	99
Mon Mar 03 19:53:04 2014	1393865584	2	151	154	99
Mon Mar 03 19:53:04 2014	1393865584	2	151	154	99
Mon Mar 03 19:53:04 2014	1393865584	2	151	154	99
Mon Mar 03 19:53:04 2014	1393865584	2	151	154	99
Mon Mar 03 19:53:04 2014	1393865584	3	151	154	99
Mon Mar 03 19:53:04 2014	1393865584	3	151	154	99
Mon Mar 03 19:53:04 2014	1393865584	3	151	154	99
Mon Mar 03 19:53:04 2014	1393865584	2	193	195	151
Mon Mar 03 19:53:04 2014	1393865584	2	193	195	151
Mon Mar 03 19:53:04 2014	1393865584	2	193	195	151
Mon Mar 03 19:53:04 2014	1393865584	2	193	195	151
Mon Mar 03 19:53:04 2014	1393865584	2	193	195	151
Mon Mar 03 19:53:04 2014	1393865584	2	193	195	151
Mon Mar 03 19:53:04 2014	1393865584	2	193	195	151
Mon Mar 03 19:53:04 2014	1393865584	2	193	195	151
Mon Mar 03 19:53:04 2014	1393865584	2	193	195	151
Mon Mar 03 19:53:04 2014	1393865584	2	193	195	151
Mon Mar 03 19:53:04 2014	1393865584	2	235	236	193
Mon Mar 03 19:53:04 2014	1393865584	2	235	237	193
Mon Mar 03 19:53:04 2014	1393865584	2	235	237	193
Mon Mar 03 19:53:04 2014	1393865584	2	235	237	193
Mon Mar 03 19:53:04 2014	1393865584	2	235	237	193
Mon Mar 03 19:53:04 2014	1393865584	2	235	237	193
Mon Mar 03 19:53:04 2014	1393865584	2	235	237	193
Mon Mar 03 19:53:04 2014	1393865584	2	235	237	193
Mon Mar 03 19:53:04 2014	1393865584	2	235	237	193
Mon Mar 03 19:53:04 2014	1393865584	1	235	237	193
Mon Mar 03 19:53:04 2014	1393865584	1	281	283	235
Mon Mar 03 19:53:04 2014	1393865584	1	282	283	235
Mon Mar 03 19:53:04 2014	1393865584	1	282	283	235
Mon Mar 03 19:53:04 2014	1393865584	1	282	283	235
Mon Mar 03 19:53:04 2014	1393865584	1	282	283	235
Mon Mar 03 19:53:04 2014	1393865584	1	282	283	235
Mon Mar 03 19:53:04 2014	1393865584	1	282	283	235
Mon Mar 03 19:53:04 2014	1393865584	1	282	283	235
Mon Mar 03 19:53:04 2014	1393865584	1	282	283	235
Mon Mar 03 19:53:04 2014	1393865584	1	282	283	235
Mon Mar 03 19:53:07 2014	1393865587	0	307	308	307
Mon Mar 03 19:53:07 2014	1393865587	0	307	308	307
Mon Mar 03 19:53:07 2014	1393865587	0	307	308	307
Mon Mar 03 19:53:07 2014	1393865587	0	307	308	307
Mon Mar 03 19:53:04 2014	1393865584	1	322	323	282
Mon Mar 03 19:53:04 2014	1393865584	1	322	324	282
Mon Mar 03 19:53:04 2014	1393865584	1	322	324	282
Mon Mar 03 19:53:04 2014	1393865584	1	322	324	282
Mon Mar 03 19:53:04 2014	1393865584	1	322	324	282
Mon Mar 03 19:53:04 2014	1393865584	1	322	324	282
Mon Mar 03 19:53:04 2014	1393865584	1	323	324	282
Mon Mar 03 19:53:04 2014	1393865584	1	323	324	282
Mon Mar 03 19:53:04 2014	1393865584	1	323	324	282
Mon Mar 03 19:53:04 2014	1393865584	1	323	324	282
Mon Mar 03 19:53:07 2014	1393865587	0	348	348	329
Mon Mar 03 19:53:07 2014	1393865587	0	348	348	329
Mon Mar 03 19:53:07 2014	1393865587	0	348	348	329
Mon Mar 03 19:53:07 2014	1393865587	0	348	348	329
Mon Mar 03 19:53:07 2014	1393865587	0	348	348	329
Mon Mar 03 19:53:07 2014	1393865587	0	348	348	329
Mon Mar 03 19:53:07 2014	1393865587	0	348	348	329
Mon Mar 03 19:53:07 2014	1393865587	0	348	348	329
Mon Mar 03 19:53:07 2014	1393865587	0	348	348	329
Mon Mar 03 19:53:07 2014	1393865587	0	348	348	329
Mon Mar 03 19:53:04 2014	1393865584	0	359	359	330
Mon Mar 03 19:53:04 2014	1393865584	0	359	359	330
Mon Mar 03 19:53:04 2014	1393865584	0	359	359	330
Mon Mar 03 19:53:04 2014	1393865584	0	359	359	330
Mon Mar 03 19:53:04 2014	1393865584	0	359	359	330
Mon Mar 03 19:53:04 2014	1393865584	0	359	359	330
Mon Mar 03 19:53:04 2014	1393865584	0	359	359	330
Mon Mar 03 19:53:04 2014	1393865584	0	359	359	330
Mon Mar 03 19:53:04 2014	1393865584	0	359	359	330
Mon Mar 03 19:53:04 2014	1393865584	0	359	359	331
Mon Mar 03 19:53:04 2014	1393865584	0	366	366	332
Mon Mar 03 19:53:04 2014	1393865584	0	366	366	332
Mon Mar 03 19:53:04 2014	1393865584	0	366	366	332
Mon Mar 03 19:53:04 2014	1393865584	0	366	366	332
Mon Mar 03 19:53:04 2014	1393865584	0	366	366	332
Mon Mar 03 19:53:04 2014	1393865584	0	366	366	332
Mon Mar 03 19:53:04 2014	1393865584	0	366	366	332
Mon Mar 03 19:53:04 2014	1393865584	0	366	366	332
Mon Mar 03 19:53:04 2014	1393865584	0	366	366	332
Mon Mar 03 19:53:04 2014	1393865584	0	366	366	332
Mon Mar 03 19:53:04 2014	1393865584	0	367	367	334
Mon Mar 03 19:53:04 2014	1393865584	0	367	367	334
Mon Mar 03 19:53:04 2014	1393865584	0	367	367	334
Mon Mar 03 19:53:04 2014	1393865584	0	367	367	334
Mon Mar 03 19:53:04 2014	1393865584	0	367	367	334
Mon Mar 03 19:53:04 2014	1393865584	0	367	367	334
Mon Mar 03 19:53:04 2014	1393865584	0	367	367	334
Mon Mar 03 19:53:04 2014	1393865584	0	367	367	334
Mon Mar 03 19:53:04 2014	1393865584	0	367	367	334
Mon Mar 03 19:53:04 2014	1393865584	0	367	367	334
Mon Mar 03 19:53:04 2014	1393865584	1	367	368	323
Mon Mar 03 19:53:04 2014	1393865584	1	367	368	323
Mon Mar 03 19:53:04 2014	1393865584	1	367	368	323
Mon Mar 03 19:53:04 2014	1393865584	1	367	368	323
Mon Mar 03 19:53:04 2014	1393865584	1	367	368	323
Mon Mar 03 19:53:04 2014	1393865584	1	367	368	323
Mon Mar 03 19:53:04 2014	1393865584	1	367	368	323
Mon Mar 03 19:53:04 2014	1393865584	1	367	368	323
Mon Mar 03 19:53:04 2014	1393865584	1	367	368	323
Mon Mar 03 19:53:04 2014	1393865584	1	367	368	323
Mon Mar 03 19:53:05 2014	1393865585	0	368	368	335
Mon Mar 03 19:53:05 2014	1393865585	0	368	368	335
Mon Mar 03 19:53:05 2014	1393865585	0	368	368	335
Mon Mar 03 19:53:05 2014	1393865585	0	368	368	335
Mon Mar 03 19:53:05 2014	1393865585	0	368	368	335
Mon Mar 03 19:53:05 2014	1393865585	0	368	368	335
Mon Mar 03 19:53:05 2014	1393865585	0	368	368	335
Mon Mar 03 19:53:05 2014	1393865585	0	368	368	335
Mon Mar 03 19:53:05 2014	1393865585	0	368	368	335
Mon Mar 03 19:53:05 2014	1393865585	0	368	368	335
Mon Mar 03 19:53:04 2014	1393865584	0	370	370	333
Mon Mar 03 19:53:04 2014	1393865584	0	370	370	333
Mon Mar 03 19:53:04 2014	1393865584	0	370	370	333
Mon Mar 03 19:53:04 2014	1393865584	0	370	370	333
Mon Mar 03 19:53:04 2014	1393865584	0	370	370	333
Mon Mar 03 19:53:04 2014	1393865584	0	370	370	333
Mon Mar 03 19:53:04 2014	1393865584	0	370	370	333
Mon Mar 03 19:53:04 2014	1393865584	0	370	370	333
Mon Mar 03 19:53:04 2014	1393865584	0	370	370	333
Mon Mar 03 19:53:04 2014	1393865584	0	370	370	333
Mon Mar 03 19:53:05 2014	1393865585	0	373	373	323
Mon Mar 03 19:53:05 2014	1393865585	0	373	373	323
Mon Mar 03 19:53:05 2014	1393865585	0	373	373	323
Mon Mar 03 19:53:05 2014	1393865585	0	373	373	323
Mon Mar 03 19:53:05 2014	1393865585	0	373	373	323
Mon Mar 03 19:53:05 2014	1393865585	0	373	373	323
Mon Mar 03 19:53:05 2014	1393865585	0	373	373	323
Mon Mar 03 19:53:05 2014	1393865585	0	373	373	323
Mon Mar 03 19:53:05 2014	1393865585	0	373	373	323
Mon Mar 03 19:53:05 2014	1393865585	0	372	373	323
Mon Mar 03 19:53:04 2014	1393865584	0	373	373	328
Mon Mar 03 19:53:04 2014	1393865584	0	373	373	328
Mon Mar 03 19:53:04 2014	1393865584	0	373	373	328
Mon Mar 03 19:53:04 2014	1393865584	0	373	373	328
Mon Mar 03 19:53:04 2014	1393865584	0	373	373	328
Mon Mar 03 19:53:04 2014	1393865584	0	373	373	328
Mon Mar 03 19:53:04 2014	1393865584	0	373	373	328
Mon Mar 03 19:53:04 2014	1393865584	0	373	373	328
Mon Mar 03 19:53:04 2014	1393865584	0	373	373	328
Mon Mar 03 19:53:04 2014	1393865584	0	373	373	328
Mon Mar 03 19:53:04 2014	1393865584	0	375	375	336
Mon Mar 03 19:53:04 2014	1393865584	0	375	375	336
Mon Mar 03 19:53:04 2014	1393865584	0	375	375	336
Mon Mar 03 19:53:04 2014	1393865584	0	375	375	336
Mon Mar 03 19:53:04 2014	1393865584	0	375	375	336
Mon Mar 03 19:53:04 2014	1393865584	0	375	375	336
Mon Mar 03 19:53:04 2014	1393865584	0	375	375	336
Mon Mar 03 19:53:04 2014	1393865584	0	375	375	336
Mon Mar 03 19:53:04 2014	1393865584	0	375	375	336
Mon Mar 03 19:53:04 2014	1393865584	0	375	375	336
Mon Mar 03 19:53:04 2014	1393865584	0	376	377	328
Mon Mar 03 19:53:04 2014	1393865584	0	376	377	328
Mon Mar 03 19:53:04 2014	1393865584	0	376	377	328
Mon Mar 03 19:53:04 2014	1393865584	0	376	377	328
Mon Mar 03 19:53:04 2014	1393865584	0	376	377	328
Mon Mar 03 19:53:04 2014	1393865584	0	376	377	328
Mon Mar 03 19:53:04 2014	1393865584	0	376	377	328
Mon Mar 03 19:53:04 2014	1393865584	0	376	377	328
Mon Mar 03 19:53:04 2014	1393865584	0	376	377	328
Mon Mar 03 19:53:04 2014	1393865584	0	377	377	328
Mon Mar 03 19:53:04 2014	1393865584	0	377	377	338
Mon Mar 03 19:53:04 2014	1393865584	0	377	377	338
Mon Mar 03 19:53:04 2014	1393865584	0	377	377	338
Mon Mar 03 19:53:04 2014	1393865584	0	377	377	338
Mon Mar 03 19:53:04 2014	1393865584	0	377	377	338
Mon Mar 03 19:53:04 2014	1393865584	0	377	377	338
Mon Mar 03 19:53:04 2014	1393865584	0	377	377	338
Mon Mar 03 19:53:04 2014	1393865584	0	377	377	338
Mon Mar 03 19:53:04 2014	1393865584	0	377	377	338
Mon Mar 03 19:53:04 2014	1393865584	0	377	377	338
Mon Mar 03 19:53:07 2014	1393865587	0	381	381	343
Mon Mar 03 19:53:07 2014	1393865587	0	380	381	343
Mon Mar 03 19:53:07 2014	1393865587	0	380	381	343
Mon Mar 03 19:53:07 2014	1393865587	0	380	381	343
Mon Mar 03 19:53:07 2014	1393865587	0	380	381	343
Mon Mar 03 19:53:07 2014	1393865587	0	380	381	343
Mon Mar 03 19:53:07 2014	1393865587	0	380	381	343
Mon Mar 03 19:53:07 2014	1393865587	0	381	381	343
Mon Mar 03 19:53:07 2014	1393865587	0	381	381	343
Mon Mar 03 19:53:07 2014	1393865587	0	381	381	343
Mon Mar 03 19:53:05 2014	1393865585	0	383	383	338
Mon Mar 03 19:53:05 2014	1393865585	0	383	383	338
Mon Mar 03 19:53:05 2014	1393865585	0	383	383	338
Mon Mar 03 19:53:05 2014	1393865585	0	383	383	338
Mon Mar 03 19:53:05 2014	1393865585	0	383	383	338
Mon Mar 03 19:53:05 2014	1393865585	0	383	383	338
Mon Mar 03 19:53:05 2014	1393865585	0	383	383	338
Mon Mar 03 19:53:05 2014	1393865585	0	383	383	338
Mon Mar 03 19:53:05 2014	1393865585	0	383	383	338
Mon Mar 03 19:53:05 2014	1393865585	0	383	383	338
Mon Mar 03 19:53:05 2014	1393865585	0	384	384	351
Mon Mar 03 19:53:05 2014	1393865585	0	384	384	351
Mon Mar 03 19:53:05 2014	1393865585	0	384	384	351
Mon Mar 03 19:53:05 2014	1393865585	0	384	384	351
Mon Mar 03 19:53:05 2014	1393865585	0	384	384	351
Mon Mar 03 19:53:05 2014	1393865585	0	384	384	351
Mon Mar 03 19:53:05 2014	1393865585	0	384	384	351
Mon Mar 03 19:53:04 2014	1393865584	0	384	384	352
Mon Mar 03 19:53:05 2014	1393865585	0	384	384	351
Mon Mar 03 19:53:04 2014	1393865584	0	384	384	352
