starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:51:53 2014	1393865513	2	308	309	209
Mon Mar 03 19:51:53 2014	1393865513	2	308	310	209
Mon Mar 03 19:51:53 2014	1393865513	2	308	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	308	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	308	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	308	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	308	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	308	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	308	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	308	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	308	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	308	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	309	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	309	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	309	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	309	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	309	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	309	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	309	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	309	310	209
Mon Mar 03 19:51:53 2014	1393865513	1	411	412	309
Mon Mar 03 19:51:53 2014	1393865513	1	411	412	309
Mon Mar 03 19:51:53 2014	1393865513	1	411	412	309
Mon Mar 03 19:51:53 2014	1393865513	1	411	412	309
Mon Mar 03 19:51:53 2014	1393865513	1	411	412	309
Mon Mar 03 19:51:53 2014	1393865513	1	411	412	309
Mon Mar 03 19:51:53 2014	1393865513	1	411	412	309
Mon Mar 03 19:51:53 2014	1393865513	1	411	412	309
Mon Mar 03 19:51:53 2014	1393865513	1	411	412	309
Mon Mar 03 19:51:53 2014	1393865513	1	411	412	309
Mon Mar 03 19:51:53 2014	1393865513	1	512	513	411
Mon Mar 03 19:51:53 2014	1393865513	1	512	513	411
Mon Mar 03 19:51:53 2014	1393865513	1	512	513	411
Mon Mar 03 19:51:53 2014	1393865513	1	512	513	411
Mon Mar 03 19:51:53 2014	1393865513	1	512	513	411
Mon Mar 03 19:51:53 2014	1393865513	1	512	513	411
Mon Mar 03 19:51:53 2014	1393865513	1	512	513	411
Mon Mar 03 19:51:53 2014	1393865513	1	512	513	411
Mon Mar 03 19:51:53 2014	1393865513	1	512	513	411
Mon Mar 03 19:51:53 2014	1393865513	1	512	513	411
Mon Mar 03 19:51:53 2014	1393865513	1	592	594	512
Mon Mar 03 19:51:53 2014	1393865513	1	592	594	512
Mon Mar 03 19:51:53 2014	1393865513	1	592	594	512
Mon Mar 03 19:51:53 2014	1393865513	1	593	594	512
Mon Mar 03 19:51:53 2014	1393865513	1	593	594	512
Mon Mar 03 19:51:53 2014	1393865513	1	593	594	512
Mon Mar 03 19:51:53 2014	1393865513	1	593	594	512
Mon Mar 03 19:51:53 2014	1393865513	1	593	594	512
Mon Mar 03 19:51:53 2014	1393865513	1	593	594	512
Mon Mar 03 19:51:53 2014	1393865513	1	593	594	512
Mon Mar 03 19:51:53 2014	1393865513	1	687	688	593
Mon Mar 03 19:51:53 2014	1393865513	1	687	688	593
Mon Mar 03 19:51:53 2014	1393865513	1	687	689	593
Mon Mar 03 19:51:53 2014	1393865513	1	687	689	593
Mon Mar 03 19:51:53 2014	1393865513	1	687	689	593
Mon Mar 03 19:51:53 2014	1393865513	1	687	689	593
Mon Mar 03 19:51:53 2014	1393865513	1	687	689	593
Mon Mar 03 19:51:53 2014	1393865513	1	687	689	593
Mon Mar 03 19:51:53 2014	1393865513	1	688	689	593
