starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:55:14 2014	1393865714	3	213	216	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	216	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	4	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	4	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	4	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	4	213	217	159
Mon Mar 03 19:55:14 2014	1393865714	3	264	267	213
Mon Mar 03 19:55:14 2014	1393865714	3	264	267	213
Mon Mar 03 19:55:14 2014	1393865714	3	264	267	213
Mon Mar 03 19:55:14 2014	1393865714	3	264	267	213
Mon Mar 03 19:55:14 2014	1393865714	3	264	267	213
Mon Mar 03 19:55:14 2014	1393865714	3	264	267	213
Mon Mar 03 19:55:14 2014	1393865714	3	264	267	213
Mon Mar 03 19:55:14 2014	1393865714	3	264	267	213
Mon Mar 03 19:55:14 2014	1393865714	3	264	267	213
Mon Mar 03 19:55:14 2014	1393865714	3	264	267	213
Mon Mar 03 19:55:14 2014	1393865714	3	318	321	264
Mon Mar 03 19:55:14 2014	1393865714	3	318	321	264
Mon Mar 03 19:55:14 2014	1393865714	3	318	321	264
Mon Mar 03 19:55:14 2014	1393865714	3	318	321	264
Mon Mar 03 19:55:14 2014	1393865714	3	318	321	264
Mon Mar 03 19:55:14 2014	1393865714	3	318	321	264
Mon Mar 03 19:55:14 2014	1393865714	3	318	321	264
Mon Mar 03 19:55:14 2014	1393865714	3	318	321	264
Mon Mar 03 19:55:14 2014	1393865714	3	318	321	264
Mon Mar 03 19:55:14 2014	1393865714	3	318	321	264
Mon Mar 03 19:55:14 2014	1393865714	3	369	371	318
Mon Mar 03 19:55:14 2014	1393865714	3	369	371	318
Mon Mar 03 19:55:14 2014	1393865714	3	369	371	318
Mon Mar 03 19:55:14 2014	1393865714	3	369	371	318
Mon Mar 03 19:55:14 2014	1393865714	3	369	371	318
Mon Mar 03 19:55:14 2014	1393865714	3	369	371	318
Mon Mar 03 19:55:14 2014	1393865714	3	369	371	318
Mon Mar 03 19:55:14 2014	1393865714	3	369	372	318
Mon Mar 03 19:55:14 2014	1393865714	3	369	372	318
Mon Mar 03 19:55:14 2014	1393865714	3	369	372	318
Mon Mar 03 19:55:14 2014	1393865714	0	421	422	366
Mon Mar 03 19:55:14 2014	1393865714	0	421	422	366
Mon Mar 03 19:55:14 2014	1393865714	0	421	422	366
Mon Mar 03 19:55:14 2014	1393865714	0	421	422	366
Mon Mar 03 19:55:14 2014	1393865714	0	421	422	366
Mon Mar 03 19:55:14 2014	1393865714	0	421	422	366
Mon Mar 03 19:55:14 2014	1393865714	0	421	422	366
Mon Mar 03 19:55:14 2014	1393865714	0	421	422	366
Mon Mar 03 19:55:14 2014	1393865714	0	421	422	366
Mon Mar 03 19:55:14 2014	1393865714	0	421	422	365
Mon Mar 03 19:55:14 2014	1393865714	2	421	423	369
Mon Mar 03 19:55:14 2014	1393865714	3	420	423	369
Mon Mar 03 19:55:14 2014	1393865714	3	421	423	369
Mon Mar 03 19:55:14 2014	1393865714	3	421	423	369
Mon Mar 03 19:55:14 2014	1393865714	3	420	423	369
Mon Mar 03 19:55:14 2014	1393865714	3	420	423	369
Mon Mar 03 19:55:14 2014	1393865714	3	420	423	369
Mon Mar 03 19:55:14 2014	1393865714	3	420	423	369
Mon Mar 03 19:55:14 2014	1393865714	3	420	423	369
Mon Mar 03 19:55:14 2014	1393865714	3	420	423	369
Mon Mar 03 19:55:14 2014	1393865714	0	475	475	421
Mon Mar 03 19:55:14 2014	1393865714	0	475	475	421
Mon Mar 03 19:55:14 2014	1393865714	0	475	475	421
Mon Mar 03 19:55:14 2014	1393865714	0	475	475	421
Mon Mar 03 19:55:14 2014	1393865714	0	475	475	421
Mon Mar 03 19:55:14 2014	1393865714	0	475	475	421
Mon Mar 03 19:55:14 2014	1393865714	0	475	475	421
Mon Mar 03 19:55:14 2014	1393865714	0	475	475	421
Mon Mar 03 19:55:14 2014	1393865714	0	475	475	421
Mon Mar 03 19:55:14 2014	1393865714	0	475	475	421
Mon Mar 03 19:55:14 2014	1393865714	2	474	477	421
