starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:31:44 2014	1393864304	0	16	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	16	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	16	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	16	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	17	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	17	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	17	17	14
Mon Mar 03 19:31:44 2014	1393864304	0	17	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	17	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	17	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	17	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	17	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	17	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	17	17	13
Mon Mar 03 19:31:44 2014	1393864304	0	20	20	16
Mon Mar 03 19:31:44 2014	1393864304	0	20	20	16
Mon Mar 03 19:31:44 2014	1393864304	0	20	20	16
Mon Mar 03 19:31:44 2014	1393864304	0	20	20	16
Mon Mar 03 19:31:44 2014	1393864304	0	20	20	16
Mon Mar 03 19:31:44 2014	1393864304	0	20	20	16
Mon Mar 03 19:31:44 2014	1393864304	0	20	20	16
Mon Mar 03 19:31:44 2014	1393864304	0	20	20	16
Mon Mar 03 19:31:44 2014	1393864304	0	20	20	16
Mon Mar 03 19:31:44 2014	1393864304	0	20	20	16
Mon Mar 03 19:31:44 2014	1393864304	0	21	21	17
Mon Mar 03 19:31:44 2014	1393864304	0	21	21	17
Mon Mar 03 19:31:44 2014	1393864304	0	21	21	17
Mon Mar 03 19:31:44 2014	1393864304	0	21	21	17
Mon Mar 03 19:31:44 2014	1393864304	0	21	21	17
Mon Mar 03 19:31:44 2014	1393864304	0	21	21	17
Mon Mar 03 19:31:44 2014	1393864304	0	23	23	20
