starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:30:42 2014	1393864242	0	54	54	42
Mon Mar 03 19:30:42 2014	1393864242	0	54	54	42
Mon Mar 03 19:30:42 2014	1393864242	0	54	54	42
Mon Mar 03 19:30:42 2014	1393864242	0	54	54	42
Mon Mar 03 19:30:42 2014	1393864242	0	54	54	42
Mon Mar 03 19:30:42 2014	1393864242	0	54	54	42
Mon Mar 03 19:30:42 2014	1393864242	0	54	54	42
Mon Mar 03 19:30:42 2014	1393864242	0	54	54	42
Mon Mar 03 19:30:42 2014	1393864242	0	54	54	42
Mon Mar 03 19:30:42 2014	1393864242	0	54	54	42
Mon Mar 03 19:30:42 2014	1393864242	0	56	56	41
Mon Mar 03 19:30:42 2014	1393864242	0	56	56	41
Mon Mar 03 19:30:42 2014	1393864242	0	69	69	56
Mon Mar 03 19:30:42 2014	1393864242	1	68	69	55
Mon Mar 03 19:30:42 2014	1393864242	0	68	69	56
Mon Mar 03 19:30:42 2014	1393864242	0	68	69	56
Mon Mar 03 19:30:42 2014	1393864242	1	68	69	56
Mon Mar 03 19:30:42 2014	1393864242	1	68	69	56
Mon Mar 03 19:30:42 2014	1393864242	1	68	69	56
Mon Mar 03 19:30:42 2014	1393864242	1	68	69	55
Mon Mar 03 19:30:42 2014	1393864242	1	68	69	55
Mon Mar 03 19:30:42 2014	1393864242	0	69	69	54
Mon Mar 03 19:30:42 2014	1393864242	0	69	69	56
Mon Mar 03 19:30:42 2014	1393864242	0	69	69	54
Mon Mar 03 19:30:42 2014	1393864242	0	69	69	54
Mon Mar 03 19:30:42 2014	1393864242	0	69	69	54
Mon Mar 03 19:30:42 2014	1393864242	0	69	69	54
Mon Mar 03 19:30:42 2014	1393864242	0	69	69	54
Mon Mar 03 19:30:42 2014	1393864242	0	69	69	54
Mon Mar 03 19:30:42 2014	1393864242	0	69	69	54
Mon Mar 03 19:30:42 2014	1393864242	1	81	82	68
Mon Mar 03 19:30:42 2014	1393864242	1	81	82	68
Mon Mar 03 19:30:42 2014	1393864242	1	81	82	68
Mon Mar 03 19:30:42 2014	1393864242	1	81	82	68
Mon Mar 03 19:30:42 2014	1393864242	1	81	82	68
Mon Mar 03 19:30:42 2014	1393864242	1	81	82	68
Mon Mar 03 19:30:42 2014	1393864242	1	81	82	68
Mon Mar 03 19:30:42 2014	1393864242	1	81	82	68
Mon Mar 03 19:30:42 2014	1393864242	1	81	82	68
Mon Mar 03 19:30:42 2014	1393864242	1	81	82	67
