starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:34:21 2014	1393864461	0	13	13	9
Mon Mar 03 19:34:21 2014	1393864461	0	13	13	9
Mon Mar 03 19:34:21 2014	1393864461	0	13	13	9
Mon Mar 03 19:34:21 2014	1393864461	0	13	13	9
Mon Mar 03 19:34:21 2014	1393864461	0	13	13	9
Mon Mar 03 19:34:21 2014	1393864461	0	13	13	9
Mon Mar 03 19:34:21 2014	1393864461	0	13	13	9
Mon Mar 03 19:34:21 2014	1393864461	0	13	13	9
Mon Mar 03 19:34:21 2014	1393864461	0	13	13	10
Mon Mar 03 19:34:21 2014	1393864461	0	13	13	10
Mon Mar 03 19:34:21 2014	1393864461	0	16	17	13
Mon Mar 03 19:34:21 2014	1393864461	0	16	17	13
Mon Mar 03 19:34:21 2014	1393864461	0	16	17	13
Mon Mar 03 19:34:21 2014	1393864461	0	16	17	13
Mon Mar 03 19:34:21 2014	1393864461	0	16	17	13
Mon Mar 03 19:34:21 2014	1393864461	0	16	17	13
Mon Mar 03 19:34:21 2014	1393864461	0	16	17	13
Mon Mar 03 19:34:21 2014	1393864461	0	16	17	13
Mon Mar 03 19:34:21 2014	1393864461	0	16	17	13
Mon Mar 03 19:34:21 2014	1393864461	0	16	17	13
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	20	20	16
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	24	24	20
Mon Mar 03 19:34:21 2014	1393864461	0	27	28	24
Mon Mar 03 19:34:21 2014	1393864461	1	27	28	23
Mon Mar 03 19:34:21 2014	1393864461	1	27	28	24
Mon Mar 03 19:34:21 2014	1393864461	1	27	28	24
Mon Mar 03 19:34:21 2014	1393864461	1	27	28	23
Mon Mar 03 19:34:21 2014	1393864461	1	27	28	23
Mon Mar 03 19:34:21 2014	1393864461	1	27	28	23
Mon Mar 03 19:34:21 2014	1393864461	0	27	28	24
Mon Mar 03 19:34:21 2014	1393864461	1	27	28	24
Mon Mar 03 19:34:21 2014	1393864461	0	27	28	24
Mon Mar 03 19:34:21 2014	1393864461	1	35	36	27
Mon Mar 03 19:34:21 2014	1393864461	1	35	36	27
Mon Mar 03 19:34:21 2014	1393864461	1	35	36	27
Mon Mar 03 19:34:21 2014	1393864461	1	35	36	27
Mon Mar 03 19:34:21 2014	1393864461	1	35	36	27
Mon Mar 03 19:34:21 2014	1393864461	1	35	36	27
Mon Mar 03 19:34:21 2014	1393864461	1	35	36	27
Mon Mar 03 19:34:21 2014	1393864461	1	35	36	27
Mon Mar 03 19:34:21 2014	1393864461	1	35	36	27
Mon Mar 03 19:34:21 2014	1393864461	1	35	36	27
Mon Mar 03 19:34:21 2014	1393864461	0	39	39	39
Mon Mar 03 19:34:21 2014	1393864461	0	39	39	39
Mon Mar 03 19:34:21 2014	1393864461	0	39	39	39
Mon Mar 03 19:34:21 2014	1393864461	0	39	39	39
Mon Mar 03 19:34:21 2014	1393864461	0	39	39	39
Mon Mar 03 19:34:21 2014	1393864461	0	39	39	39
Mon Mar 03 19:34:21 2014	1393864461	0	39	39	39
Mon Mar 03 19:34:21 2014	1393864461	0	39	39	39
Mon Mar 03 19:34:21 2014	1393864461	0	39	39	39
Mon Mar 03 19:34:21 2014	1393864461	0	39	39	39
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
Mon Mar 03 19:34:21 2014	1393864461	1	39	40	35
Mon Mar 03 19:34:21 2014	1393864461	1	40	40	35
Mon Mar 03 19:34:21 2014	1393864461	1	40	40	35
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	35
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	35
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	35
Mon Mar 03 19:34:21 2014	1393864461	1	40	40	35
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	35
Mon Mar 03 19:34:21 2014	1393864461	1	40	40	35
Mon Mar 03 19:34:21 2014	1393864461	1	40	40	35
Mon Mar 03 19:34:21 2014	1393864461	0	40	40	36
