starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:37:53 2014	1393864673	0	43	43	29
Mon Mar 03 19:37:53 2014	1393864673	0	43	43	29
Mon Mar 03 19:37:53 2014	1393864673	1	43	43	28
Mon Mar 03 19:37:53 2014	1393864673	0	43	43	29
Mon Mar 03 19:37:53 2014	1393864673	1	43	43	28
Mon Mar 03 19:37:53 2014	1393864673	0	43	43	29
Mon Mar 03 19:37:53 2014	1393864673	0	43	43	28
Mon Mar 03 19:37:53 2014	1393864673	1	56	57	43
Mon Mar 03 19:37:53 2014	1393864673	1	56	57	42
Mon Mar 03 19:37:53 2014	1393864673	1	56	57	42
Mon Mar 03 19:37:53 2014	1393864673	1	56	57	42
Mon Mar 03 19:37:53 2014	1393864673	1	56	57	42
Mon Mar 03 19:37:53 2014	1393864673	1	56	57	42
Mon Mar 03 19:37:53 2014	1393864673	1	56	57	43
Mon Mar 03 19:37:53 2014	1393864673	1	56	57	43
Mon Mar 03 19:37:53 2014	1393864673	1	56	57	42
Mon Mar 03 19:37:53 2014	1393864673	1	56	57	43
Mon Mar 03 19:37:53 2014	1393864673	0	57	57	43
Mon Mar 03 19:37:53 2014	1393864673	0	57	58	43
Mon Mar 03 19:37:53 2014	1393864673	0	57	58	43
Mon Mar 03 19:37:53 2014	1393864673	1	71	72	56
Mon Mar 03 19:37:53 2014	1393864673	1	71	72	56
Mon Mar 03 19:37:53 2014	1393864673	1	71	72	56
Mon Mar 03 19:37:53 2014	1393864673	1	71	72	56
Mon Mar 03 19:37:53 2014	1393864673	1	70	72	56
Mon Mar 03 19:37:53 2014	1393864673	1	73	74	55
Mon Mar 03 19:37:53 2014	1393864673	1	73	74	55
Mon Mar 03 19:37:53 2014	1393864673	1	73	74	55
Mon Mar 03 19:37:53 2014	1393864673	2	73	74	55
Mon Mar 03 19:37:53 2014	1393864673	1	73	74	55
Mon Mar 03 19:37:53 2014	1393864673	2	87	89	73
Mon Mar 03 19:37:53 2014	1393864673	2	87	89	73
Mon Mar 03 19:37:53 2014	1393864673	2	87	89	73
Mon Mar 03 19:37:53 2014	1393864673	2	87	89	72
Mon Mar 03 19:37:53 2014	1393864673	2	87	89	73
Mon Mar 03 19:37:53 2014	1393864673	2	87	89	73
Mon Mar 03 19:37:53 2014	1393864673	2	87	89	73
Mon Mar 03 19:37:53 2014	1393864673	2	87	89	73
Mon Mar 03 19:37:53 2014	1393864673	2	87	89	72
Mon Mar 03 19:37:53 2014	1393864673	2	87	89	73
Mon Mar 03 19:37:53 2014	1393864673	2	97	99	89
Mon Mar 03 19:37:53 2014	1393864673	2	97	99	89
Mon Mar 03 19:37:53 2014	1393864673	2	97	99	89
Mon Mar 03 19:37:53 2014	1393864673	2	97	99	89
Mon Mar 03 19:37:53 2014	1393864673	2	97	99	89
Mon Mar 03 19:37:53 2014	1393864673	2	97	99	89
Mon Mar 03 19:37:53 2014	1393864673	2	97	99	89
Mon Mar 03 19:37:53 2014	1393864673	2	97	99	89
Mon Mar 03 19:37:53 2014	1393864673	2	97	99	89
Mon Mar 03 19:37:53 2014	1393864673	2	97	99	89
Mon Mar 03 19:37:53 2014	1393864673	1	104	105	97
Mon Mar 03 19:37:53 2014	1393864673	1	104	105	97
Mon Mar 03 19:37:53 2014	1393864673	1	104	105	97
Mon Mar 03 19:37:53 2014	1393864673	1	104	105	97
Mon Mar 03 19:37:53 2014	1393864673	1	104	105	97
Mon Mar 03 19:37:53 2014	1393864673	1	104	105	97
Mon Mar 03 19:37:53 2014	1393864673	2	104	105	97
Mon Mar 03 19:37:53 2014	1393864673	2	104	105	97
Mon Mar 03 19:37:53 2014	1393864673	2	104	105	97
Mon Mar 03 19:37:53 2014	1393864673	2	104	105	97
Mon Mar 03 19:37:53 2014	1393864673	3	106	109	5
Mon Mar 03 19:37:53 2014	1393864673	3	106	109	5
Mon Mar 03 19:37:53 2014	1393864673	3	106	109	5
Mon Mar 03 19:37:53 2014	1393864673	1	110	111	104
Mon Mar 03 19:37:53 2014	1393864673	1	110	111	104
Mon Mar 03 19:37:53 2014	1393864673	1	110	111	104
Mon Mar 03 19:37:53 2014	1393864673	1	110	111	104
Mon Mar 03 19:37:53 2014	1393864673	1	110	111	104
Mon Mar 03 19:37:53 2014	1393864673	1	110	111	104
Mon Mar 03 19:37:53 2014	1393864673	1	110	111	104
Mon Mar 03 19:37:53 2014	1393864673	1	110	111	104
Mon Mar 03 19:37:53 2014	1393864673	1	110	111	104
Mon Mar 03 19:37:53 2014	1393864673	1	110	111	104
Mon Mar 03 19:37:53 2014	1393864673	0	115	115	101
Mon Mar 03 19:37:53 2014	1393864673	0	115	115	101
Mon Mar 03 19:37:53 2014	1393864673	0	115	115	101
Mon Mar 03 19:37:53 2014	1393864673	0	115	115	101
Mon Mar 03 19:37:53 2014	1393864673	0	115	115	101
Mon Mar 03 19:37:54 2014	1393864674	0	115	115	106
Mon Mar 03 19:37:54 2014	1393864674	0	115	115	106
Mon Mar 03 19:37:54 2014	1393864674	0	115	115	106
Mon Mar 03 19:37:54 2014	1393864674	0	115	116	106
Mon Mar 03 19:37:54 2014	1393864674	0	115	116	106
Mon Mar 03 19:37:54 2014	1393864674	0	115	116	106
Mon Mar 03 19:37:54 2014	1393864674	0	115	116	106
Mon Mar 03 19:37:54 2014	1393864674	0	115	116	106
Mon Mar 03 19:37:54 2014	1393864674	0	115	116	106
Mon Mar 03 19:37:54 2014	1393864674	0	115	116	106
