starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:38:49 2014	1393864729	0	232	232	161
Mon Mar 03 19:38:49 2014	1393864729	0	232	232	161
Mon Mar 03 19:38:49 2014	1393864729	0	232	232	161
Mon Mar 03 19:38:49 2014	1393864729	0	232	232	161
Mon Mar 03 19:38:49 2014	1393864729	1	232	232	161
Mon Mar 03 19:38:49 2014	1393864729	1	232	232	161
Mon Mar 03 19:38:49 2014	1393864729	0	232	232	161
Mon Mar 03 19:38:49 2014	1393864729	0	232	232	161
Mon Mar 03 19:38:49 2014	1393864729	0	306	306	236
Mon Mar 03 19:38:49 2014	1393864729	0	306	306	236
Mon Mar 03 19:38:49 2014	1393864729	1	315	315	232
Mon Mar 03 19:38:49 2014	1393864729	1	315	315	231
Mon Mar 03 19:38:49 2014	1393864729	1	314	315	231
Mon Mar 03 19:38:49 2014	1393864729	1	315	315	231
Mon Mar 03 19:38:49 2014	1393864729	1	314	315	231
Mon Mar 03 19:38:49 2014	1393864729	1	315	315	231
Mon Mar 03 19:38:49 2014	1393864729	1	314	315	231
Mon Mar 03 19:38:49 2014	1393864729	1	315	315	232
Mon Mar 03 19:38:49 2014	1393864729	1	315	315	231
Mon Mar 03 19:38:49 2014	1393864729	1	315	315	231
Mon Mar 03 19:38:49 2014	1393864729	2	396	398	314
Mon Mar 03 19:38:49 2014	1393864729	2	396	398	314
Mon Mar 03 19:38:49 2014	1393864729	2	396	398	314
Mon Mar 03 19:38:49 2014	1393864729	1	396	398	314
Mon Mar 03 19:38:49 2014	1393864729	1	396	398	314
Mon Mar 03 19:38:49 2014	1393864729	1	396	398	314
Mon Mar 03 19:38:49 2014	1393864729	1	396	398	314
Mon Mar 03 19:38:49 2014	1393864729	1	397	398	314
Mon Mar 03 19:38:49 2014	1393864729	1	397	398	314
Mon Mar 03 19:38:49 2014	1393864729	1	397	398	314
Mon Mar 03 19:38:49 2014	1393864729	2	464	466	396
Mon Mar 03 19:38:49 2014	1393864729	2	464	466	396
Mon Mar 03 19:38:49 2014	1393864729	2	464	466	396
Mon Mar 03 19:38:49 2014	1393864729	2	464	466	396
Mon Mar 03 19:38:49 2014	1393864729	2	464	466	396
Mon Mar 03 19:38:49 2014	1393864729	2	464	466	396
Mon Mar 03 19:38:49 2014	1393864729	2	464	466	396
Mon Mar 03 19:38:49 2014	1393864729	2	464	466	396
Mon Mar 03 19:38:49 2014	1393864729	2	464	466	396
Mon Mar 03 19:38:49 2014	1393864729	2	464	466	396
Mon Mar 03 19:38:49 2014	1393864729	2	532	534	464
Mon Mar 03 19:38:49 2014	1393864729	2	533	534	464
Mon Mar 03 19:38:49 2014	1393864729	2	532	534	464
Mon Mar 03 19:38:49 2014	1393864729	2	532	534	464
Mon Mar 03 19:38:49 2014	1393864729	2	532	534	464
Mon Mar 03 19:38:49 2014	1393864729	1	533	534	464
Mon Mar 03 19:38:49 2014	1393864729	1	533	534	464
Mon Mar 03 19:38:49 2014	1393864729	1	533	534	464
Mon Mar 03 19:38:49 2014	1393864729	1	533	534	464
Mon Mar 03 19:38:49 2014	1393864729	1	533	534	464
Mon Mar 03 19:38:48 2014	1393864728	3	547	550	16
Mon Mar 03 19:38:48 2014	1393864728	3	547	550	16
Mon Mar 03 19:38:49 2014	1393864729	1	614	615	533
Mon Mar 03 19:38:49 2014	1393864729	1	614	615	533
Mon Mar 03 19:38:49 2014	1393864729	1	614	615	533
Mon Mar 03 19:38:49 2014	1393864729	1	614	615	533
Mon Mar 03 19:38:49 2014	1393864729	1	614	615	533
Mon Mar 03 19:38:49 2014	1393864729	1	614	615	533
Mon Mar 03 19:38:49 2014	1393864729	1	614	615	533
Mon Mar 03 19:38:49 2014	1393864729	1	614	615	533
Mon Mar 03 19:38:49 2014	1393864729	1	614	615	533
Mon Mar 03 19:38:49 2014	1393864729	1	614	615	533
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	548
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	548
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	548
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	548
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	622	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	3	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	2	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	2	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	2	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	2	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	2	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	2	623	625	547
Mon Mar 03 19:38:48 2014	1393864728	2	623	626	547
Mon Mar 03 19:38:48 2014	1393864728	2	623	626	547
