starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:36:04 2014	1393864564	0	124	124	80
Mon Mar 03 19:36:04 2014	1393864564	0	124	124	80
Mon Mar 03 19:36:04 2014	1393864564	0	124	124	80
Mon Mar 03 19:36:04 2014	1393864564	0	124	124	80
Mon Mar 03 19:36:04 2014	1393864564	0	124	124	80
Mon Mar 03 19:36:04 2014	1393864564	0	124	124	80
Mon Mar 03 19:36:04 2014	1393864564	0	124	124	80
Mon Mar 03 19:36:04 2014	1393864564	0	165	165	124
Mon Mar 03 19:36:04 2014	1393864564	0	164	165	124
Mon Mar 03 19:36:04 2014	1393864564	0	165	165	124
Mon Mar 03 19:36:04 2014	1393864564	0	165	165	124
Mon Mar 03 19:36:04 2014	1393864564	0	164	165	124
Mon Mar 03 19:36:04 2014	1393864564	0	165	165	124
Mon Mar 03 19:36:04 2014	1393864564	0	165	165	124
Mon Mar 03 19:36:04 2014	1393864564	1	164	165	124
Mon Mar 03 19:36:04 2014	1393864564	0	164	165	124
Mon Mar 03 19:36:04 2014	1393864564	1	164	165	124
Mon Mar 03 19:36:04 2014	1393864564	0	167	167	123
Mon Mar 03 19:36:04 2014	1393864564	0	167	167	123
Mon Mar 03 19:36:04 2014	1393864564	0	167	167	123
Mon Mar 03 19:36:04 2014	1393864564	1	204	205	164
Mon Mar 03 19:36:04 2014	1393864564	1	204	205	164
Mon Mar 03 19:36:04 2014	1393864564	1	204	205	164
Mon Mar 03 19:36:04 2014	1393864564	1	204	205	164
Mon Mar 03 19:36:04 2014	1393864564	1	204	205	164
Mon Mar 03 19:36:04 2014	1393864564	1	204	205	164
Mon Mar 03 19:36:04 2014	1393864564	1	204	205	164
Mon Mar 03 19:36:04 2014	1393864564	1	204	205	164
Mon Mar 03 19:36:04 2014	1393864564	1	204	205	164
Mon Mar 03 19:36:04 2014	1393864564	1	204	205	164
Mon Mar 03 19:36:04 2014	1393864564	1	245	246	204
Mon Mar 03 19:36:04 2014	1393864564	1	245	246	204
Mon Mar 03 19:36:04 2014	1393864564	1	245	246	204
Mon Mar 03 19:36:04 2014	1393864564	1	245	246	204
Mon Mar 03 19:36:04 2014	1393864564	1	245	246	204
Mon Mar 03 19:36:04 2014	1393864564	1	245	246	204
Mon Mar 03 19:36:04 2014	1393864564	1	245	246	204
Mon Mar 03 19:36:04 2014	1393864564	1	245	246	204
Mon Mar 03 19:36:04 2014	1393864564	1	245	246	204
Mon Mar 03 19:36:04 2014	1393864564	1	245	246	204
Mon Mar 03 19:36:04 2014	1393864564	1	285	286	245
Mon Mar 03 19:36:04 2014	1393864564	1	285	286	245
Mon Mar 03 19:36:04 2014	1393864564	1	285	286	245
Mon Mar 03 19:36:04 2014	1393864564	1	285	286	245
Mon Mar 03 19:36:04 2014	1393864564	1	285	286	245
Mon Mar 03 19:36:04 2014	1393864564	1	285	286	245
Mon Mar 03 19:36:04 2014	1393864564	1	285	286	245
Mon Mar 03 19:36:04 2014	1393864564	1	285	286	245
Mon Mar 03 19:36:04 2014	1393864564	1	285	286	245
Mon Mar 03 19:36:04 2014	1393864564	1	285	286	245
Mon Mar 03 19:36:04 2014	1393864564	1	324	325	286
Mon Mar 03 19:36:04 2014	1393864564	1	324	325	286
Mon Mar 03 19:36:04 2014	1393864564	1	324	325	286
Mon Mar 03 19:36:04 2014	1393864564	1	324	325	286
Mon Mar 03 19:36:04 2014	1393864564	1	324	325	286
Mon Mar 03 19:36:04 2014	1393864564	1	324	325	286
Mon Mar 03 19:36:04 2014	1393864564	1	324	325	286
Mon Mar 03 19:36:04 2014	1393864564	1	324	325	286
Mon Mar 03 19:36:04 2014	1393864564	1	324	325	286
Mon Mar 03 19:36:04 2014	1393864564	1	324	325	286
Mon Mar 03 19:36:03 2014	1393864563	2	347	349	24
Mon Mar 03 19:36:03 2014	1393864563	2	347	349	24
Mon Mar 03 19:36:03 2014	1393864563	2	347	349	24
Mon Mar 03 19:36:04 2014	1393864564	1	363	364	324
Mon Mar 03 19:36:04 2014	1393864564	1	363	364	324
Mon Mar 03 19:36:04 2014	1393864564	1	363	364	324
Mon Mar 03 19:36:04 2014	1393864564	1	363	364	324
Mon Mar 03 19:36:04 2014	1393864564	1	363	364	324
Mon Mar 03 19:36:04 2014	1393864564	1	363	364	324
Mon Mar 03 19:36:04 2014	1393864564	1	363	364	324
Mon Mar 03 19:36:04 2014	1393864564	1	363	364	324
Mon Mar 03 19:36:04 2014	1393864564	1	363	364	324
Mon Mar 03 19:36:04 2014	1393864564	0	363	364	324
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	2	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	2	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	2	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	2	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	2	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	2	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	2	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	2	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	2	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	2	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	2	390	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	391	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	392	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	392	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	392	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	392	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	392	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	392	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	392	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	392	392	348
Mon Mar 03 19:36:03 2014	1393864563	1	392	392	348
Mon Mar 03 19:36:07 2014	1393864567	0	400	400	400
Mon Mar 03 19:36:07 2014	1393864567	0	400	400	400
Mon Mar 03 19:36:07 2014	1393864567	0	400	400	400
Mon Mar 03 19:36:07 2014	1393864567	0	400	400	400
Mon Mar 03 19:36:07 2014	1393864567	0	400	400	400
Mon Mar 03 19:36:07 2014	1393864567	0	400	400	400
Mon Mar 03 19:36:07 2014	1393864567	0	400	400	400
Mon Mar 03 19:36:07 2014	1393864567	0	400	400	400
Mon Mar 03 19:36:07 2014	1393864567	0	400	400	400
Mon Mar 03 19:36:07 2014	1393864567	0	400	400	400
Mon Mar 03 19:36:04 2014	1393864564	0	404	405	363
Mon Mar 03 19:36:04 2014	1393864564	0	404	405	363
Mon Mar 03 19:36:04 2014	1393864564	0	404	405	363
Mon Mar 03 19:36:04 2014	1393864564	0	404	405	363
Mon Mar 03 19:36:04 2014	1393864564	0	404	405	363
Mon Mar 03 19:36:04 2014	1393864564	0	404	405	363
Mon Mar 03 19:36:04 2014	1393864564	0	404	405	363
Mon Mar 03 19:36:04 2014	1393864564	0	404	405	363
Mon Mar 03 19:36:04 2014	1393864564	0	404	405	363
Mon Mar 03 19:36:04 2014	1393864564	0	404	405	363
Mon Mar 03 19:36:04 2014	1393864564	0	405	405	365
Mon Mar 03 19:36:04 2014	1393864564	0	405	405	365
Mon Mar 03 19:36:04 2014	1393864564	0	405	405	365
Mon Mar 03 19:36:04 2014	1393864564	0	405	405	365
Mon Mar 03 19:36:04 2014	1393864564	0	405	405	365
Mon Mar 03 19:36:04 2014	1393864564	0	405	405	365
Mon Mar 03 19:36:04 2014	1393864564	0	405	405	365
Mon Mar 03 19:36:04 2014	1393864564	0	405	405	365
Mon Mar 03 19:36:04 2014	1393864564	0	405	405	365
Mon Mar 03 19:36:04 2014	1393864564	0	405	405	365
