starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:21:07 2014	1393863667	0	122	123	83
Mon Mar 03 19:21:07 2014	1393863667	0	122	123	83
Mon Mar 03 19:21:07 2014	1393863667	0	122	123	83
Mon Mar 03 19:21:07 2014	1393863667	0	122	123	83
Mon Mar 03 19:21:07 2014	1393863667	0	122	123	83
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	83
Mon Mar 03 19:21:07 2014	1393863667	0	122	123	83
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	83
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	81
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	81
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	81
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	81
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	81
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	81
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	81
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	81
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	81
Mon Mar 03 19:21:07 2014	1393863667	0	123	123	81
Mon Mar 03 19:21:07 2014	1393863667	0	161	161	122
Mon Mar 03 19:21:07 2014	1393863667	0	161	161	122
Mon Mar 03 19:21:07 2014	1393863667	1	161	161	122
Mon Mar 03 19:21:07 2014	1393863667	0	161	161	122
Mon Mar 03 19:21:07 2014	1393863667	1	161	161	122
Mon Mar 03 19:21:07 2014	1393863667	0	161	161	122
Mon Mar 03 19:21:07 2014	1393863667	0	161	161	122
Mon Mar 03 19:21:07 2014	1393863667	0	161	161	122
Mon Mar 03 19:21:07 2014	1393863667	0	161	161	122
Mon Mar 03 19:21:07 2014	1393863667	0	161	161	122
Mon Mar 03 19:21:07 2014	1393863667	0	162	162	123
Mon Mar 03 19:21:07 2014	1393863667	0	162	163	123
Mon Mar 03 19:21:07 2014	1393863667	1	201	202	161
Mon Mar 03 19:21:07 2014	1393863667	1	201	202	161
Mon Mar 03 19:21:07 2014	1393863667	1	201	202	161
Mon Mar 03 19:21:07 2014	1393863667	1	201	202	161
Mon Mar 03 19:21:07 2014	1393863667	1	201	202	161
Mon Mar 03 19:21:07 2014	1393863667	1	201	202	161
Mon Mar 03 19:21:07 2014	1393863667	1	201	202	161
Mon Mar 03 19:21:07 2014	1393863667	1	201	202	161
Mon Mar 03 19:21:07 2014	1393863667	1	201	202	161
Mon Mar 03 19:21:07 2014	1393863667	1	201	202	161
Mon Mar 03 19:21:07 2014	1393863667	1	241	241	201
Mon Mar 03 19:21:07 2014	1393863667	1	240	241	201
Mon Mar 03 19:21:07 2014	1393863667	1	241	241	201
Mon Mar 03 19:21:07 2014	1393863667	1	240	241	201
Mon Mar 03 19:21:07 2014	1393863667	1	240	241	201
Mon Mar 03 19:21:07 2014	1393863667	1	241	241	201
Mon Mar 03 19:21:07 2014	1393863667	1	240	241	201
Mon Mar 03 19:21:07 2014	1393863667	1	240	241	201
Mon Mar 03 19:21:07 2014	1393863667	1	241	241	201
Mon Mar 03 19:21:07 2014	1393863667	1	241	241	201
Mon Mar 03 19:21:07 2014	1393863667	1	280	281	240
Mon Mar 03 19:21:07 2014	1393863667	1	281	281	240
Mon Mar 03 19:21:07 2014	1393863667	1	280	281	240
Mon Mar 03 19:21:07 2014	1393863667	1	281	281	240
Mon Mar 03 19:21:07 2014	1393863667	1	280	281	240
Mon Mar 03 19:21:07 2014	1393863667	1	280	281	240
Mon Mar 03 19:21:07 2014	1393863667	1	280	281	240
Mon Mar 03 19:21:07 2014	1393863667	1	281	281	240
Mon Mar 03 19:21:07 2014	1393863667	1	281	281	240
Mon Mar 03 19:21:07 2014	1393863667	1	281	281	240
Mon Mar 03 19:21:07 2014	1393863667	1	320	321	281
Mon Mar 03 19:21:07 2014	1393863667	1	320	321	281
Mon Mar 03 19:21:07 2014	1393863667	1	320	321	281
Mon Mar 03 19:21:07 2014	1393863667	1	320	321	281
Mon Mar 03 19:21:07 2014	1393863667	1	320	321	281
Mon Mar 03 19:21:07 2014	1393863667	1	320	321	281
Mon Mar 03 19:21:07 2014	1393863667	1	320	321	281
Mon Mar 03 19:21:07 2014	1393863667	1	320	321	281
Mon Mar 03 19:21:07 2014	1393863667	1	320	321	281
Mon Mar 03 19:21:07 2014	1393863667	1	320	321	281
Mon Mar 03 19:21:07 2014	1393863667	1	358	358	320
Mon Mar 03 19:21:07 2014	1393863667	1	358	358	320
Mon Mar 03 19:21:07 2014	1393863667	1	358	358	320
Mon Mar 03 19:21:07 2014	1393863667	1	358	358	320
Mon Mar 03 19:21:07 2014	1393863667	1	358	358	320
Mon Mar 03 19:21:07 2014	1393863667	1	358	358	320
Mon Mar 03 19:21:07 2014	1393863667	1	358	358	320
