starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 19:19:53 2014	1393863593	0	244	244	167
Mon Mar 03 19:19:53 2014	1393863593	0	244	244	166
Mon Mar 03 19:19:53 2014	1393863593	0	244	244	166
Mon Mar 03 19:19:53 2014	1393863593	0	244	244	166
Mon Mar 03 19:19:53 2014	1393863593	0	244	244	166
Mon Mar 03 19:19:53 2014	1393863593	0	244	244	166
Mon Mar 03 19:19:53 2014	1393863593	0	244	244	166
Mon Mar 03 19:19:53 2014	1393863593	0	244	244	166
Mon Mar 03 19:19:53 2014	1393863593	0	244	244	166
Mon Mar 03 19:19:53 2014	1393863593	0	244	244	166
Mon Mar 03 19:19:53 2014	1393863593	0	250	250	166
Mon Mar 03 19:19:53 2014	1393863593	0	250	250	166
Mon Mar 03 19:19:53 2014	1393863593	0	324	324	250
Mon Mar 03 19:19:53 2014	1393863593	1	323	324	249
Mon Mar 03 19:19:53 2014	1393863593	0	323	324	249
Mon Mar 03 19:19:53 2014	1393863593	0	323	324	249
Mon Mar 03 19:19:53 2014	1393863593	1	323	324	249
Mon Mar 03 19:19:53 2014	1393863593	1	323	324	249
Mon Mar 03 19:19:53 2014	1393863593	0	324	324	250
Mon Mar 03 19:19:53 2014	1393863593	1	323	324	249
Mon Mar 03 19:19:53 2014	1393863593	1	323	324	249
Mon Mar 03 19:19:53 2014	1393863593	0	324	324	249
Mon Mar 03 19:19:53 2014	1393863593	0	328	328	244
Mon Mar 03 19:19:53 2014	1393863593	0	328	328	244
Mon Mar 03 19:19:53 2014	1393863593	0	328	328	244
Mon Mar 03 19:19:53 2014	1393863593	0	328	328	244
Mon Mar 03 19:19:53 2014	1393863593	0	328	328	244
Mon Mar 03 19:19:53 2014	1393863593	0	328	328	244
Mon Mar 03 19:19:53 2014	1393863593	0	328	328	244
Mon Mar 03 19:19:53 2014	1393863593	0	328	328	244
Mon Mar 03 19:19:53 2014	1393863593	1	407	408	322
Mon Mar 03 19:19:53 2014	1393863593	1	407	408	323
Mon Mar 03 19:19:53 2014	1393863593	1	407	408	323
Mon Mar 03 19:19:53 2014	1393863593	1	407	408	323
