starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 20:14:28 2014	1393866868	0	44	44	32
Mon Mar 03 20:14:28 2014	1393866868	0	44	44	32
Mon Mar 03 20:14:28 2014	1393866868	0	44	44	32
Mon Mar 03 20:14:28 2014	1393866868	0	44	44	32
Mon Mar 03 20:14:28 2014	1393866868	0	44	44	32
Mon Mar 03 20:14:28 2014	1393866868	0	44	44	32
Mon Mar 03 20:14:28 2014	1393866868	0	44	44	32
Mon Mar 03 20:14:28 2014	1393866868	0	44	44	32
Mon Mar 03 20:14:28 2014	1393866868	0	44	44	32
Mon Mar 03 20:14:28 2014	1393866868	0	44	44	32
Mon Mar 03 20:14:28 2014	1393866868	0	55	55	44
Mon Mar 03 20:14:28 2014	1393866868	0	55	55	44
Mon Mar 03 20:14:28 2014	1393866868	0	55	55	44
Mon Mar 03 20:14:28 2014	1393866868	0	55	55	44
Mon Mar 03 20:14:28 2014	1393866868	0	55	55	44
Mon Mar 03 20:14:28 2014	1393866868	0	55	55	44
Mon Mar 03 20:14:28 2014	1393866868	0	55	55	44
Mon Mar 03 20:14:28 2014	1393866868	0	55	55	44
Mon Mar 03 20:14:28 2014	1393866868	0	55	55	44
Mon Mar 03 20:14:28 2014	1393866868	0	55	55	44
Mon Mar 03 20:14:28 2014	1393866868	0	56	56	45
Mon Mar 03 20:14:28 2014	1393866868	0	56	56	45
Mon Mar 03 20:14:28 2014	1393866868	0	56	56	45
Mon Mar 03 20:14:28 2014	1393866868	0	56	56	45
Mon Mar 03 20:14:28 2014	1393866868	0	56	56	45
Mon Mar 03 20:14:28 2014	1393866868	0	56	56	45
Mon Mar 03 20:14:28 2014	1393866868	0	56	56	45
Mon Mar 03 20:14:28 2014	1393866868	0	56	56	45
Mon Mar 03 20:14:28 2014	1393866868	0	56	56	45
Mon Mar 03 20:14:28 2014	1393866868	0	56	56	45
Mon Mar 03 20:14:28 2014	1393866868	0	67	67	56
Mon Mar 03 20:14:28 2014	1393866868	0	67	67	56
Mon Mar 03 20:14:28 2014	1393866868	0	67	67	56
Mon Mar 03 20:14:28 2014	1393866868	0	67	67	56
Mon Mar 03 20:14:28 2014	1393866868	0	67	67	56
Mon Mar 03 20:14:28 2014	1393866868	0	67	67	56
Mon Mar 03 20:14:28 2014	1393866868	0	67	67	56
Mon Mar 03 20:14:28 2014	1393866868	0	67	67	56
Mon Mar 03 20:14:28 2014	1393866868	0	67	67	56
Mon Mar 03 20:14:28 2014	1393866868	0	67	67	56
Mon Mar 03 20:14:28 2014	1393866868	0	76	77	67
Mon Mar 03 20:14:28 2014	1393866868	0	76	77	67
Mon Mar 03 20:14:28 2014	1393866868	0	77	77	67
Mon Mar 03 20:14:28 2014	1393866868	0	77	77	67
Mon Mar 03 20:14:28 2014	1393866868	0	77	77	67
Mon Mar 03 20:14:28 2014	1393866868	0	76	77	67
Mon Mar 03 20:14:28 2014	1393866868	0	76	77	67
Mon Mar 03 20:14:28 2014	1393866868	1	76	77	67
Mon Mar 03 20:14:28 2014	1393866868	0	77	77	67
Mon Mar 03 20:14:28 2014	1393866868	0	76	77	67
