starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 20:10:34 2014	1393866634	0	100	100	79
Mon Mar 03 20:10:34 2014	1393866634	0	100	100	79
Mon Mar 03 20:10:34 2014	1393866634	0	100	100	79
Mon Mar 03 20:10:34 2014	1393866634	0	100	100	79
Mon Mar 03 20:10:34 2014	1393866634	0	100	100	79
Mon Mar 03 20:10:34 2014	1393866634	0	100	100	79
Mon Mar 03 20:10:34 2014	1393866634	0	100	100	79
Mon Mar 03 20:10:34 2014	1393866634	0	100	100	79
Mon Mar 03 20:10:34 2014	1393866634	0	100	100	78
Mon Mar 03 20:10:34 2014	1393866634	0	100	100	78
Mon Mar 03 20:10:34 2014	1393866634	0	102	102	76
Mon Mar 03 20:10:34 2014	1393866634	0	102	102	77
Mon Mar 03 20:10:34 2014	1393866634	0	126	126	100
Mon Mar 03 20:10:34 2014	1393866634	0	125	126	100
Mon Mar 03 20:10:34 2014	1393866634	0	126	126	100
Mon Mar 03 20:10:34 2014	1393866634	0	125	126	100
Mon Mar 03 20:10:34 2014	1393866634	0	125	126	100
Mon Mar 03 20:10:34 2014	1393866634	0	125	126	100
Mon Mar 03 20:10:34 2014	1393866634	0	125	126	100
Mon Mar 03 20:10:34 2014	1393866634	0	125	126	100
Mon Mar 03 20:10:34 2014	1393866634	0	128	128	102
Mon Mar 03 20:10:34 2014	1393866634	0	128	128	102
Mon Mar 03 20:10:34 2014	1393866634	0	128	128	102
Mon Mar 03 20:10:34 2014	1393866634	0	128	128	102
Mon Mar 03 20:10:34 2014	1393866634	0	128	128	102
Mon Mar 03 20:10:34 2014	1393866634	0	128	128	102
Mon Mar 03 20:10:34 2014	1393866634	0	128	128	102
Mon Mar 03 20:10:34 2014	1393866634	0	128	128	102
Mon Mar 03 20:10:34 2014	1393866634	0	128	128	102
Mon Mar 03 20:10:34 2014	1393866634	0	128	128	102
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	145	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	3	146	149	35
Mon Mar 03 20:10:34 2014	1393866634	0	151	151	128
Mon Mar 03 20:10:34 2014	1393866634	0	151	151	128
Mon Mar 03 20:10:34 2014	1393866634	0	151	151	128
Mon Mar 03 20:10:34 2014	1393866634	0	151	151	128
Mon Mar 03 20:10:34 2014	1393866634	0	151	151	128
Mon Mar 03 20:10:34 2014	1393866634	0	151	151	128
Mon Mar 03 20:10:34 2014	1393866634	0	151	151	128
Mon Mar 03 20:10:34 2014	1393866634	0	151	151	128
Mon Mar 03 20:10:34 2014	1393866634	0	151	152	128
Mon Mar 03 20:10:34 2014	1393866634	0	151	152	128
Mon Mar 03 20:10:34 2014	1393866634	0	170	170	151
Mon Mar 03 20:10:34 2014	1393866634	0	170	170	151
Mon Mar 03 20:10:34 2014	1393866634	0	170	170	151
Mon Mar 03 20:10:34 2014	1393866634	0	170	170	151
Mon Mar 03 20:10:34 2014	1393866634	0	170	170	151
Mon Mar 03 20:10:34 2014	1393866634	0	170	170	151
Mon Mar 03 20:10:34 2014	1393866634	0	170	171	151
Mon Mar 03 20:10:34 2014	1393866634	0	170	171	151
Mon Mar 03 20:10:34 2014	1393866634	0	170	171	151
