starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 20:05:44 2014	1393866344	0	102	103	83
Mon Mar 03 20:05:44 2014	1393866344	0	102	103	83
Mon Mar 03 20:05:44 2014	1393866344	0	102	103	83
Mon Mar 03 20:05:44 2014	1393866344	0	102	103	83
Mon Mar 03 20:05:44 2014	1393866344	0	102	103	83
Mon Mar 03 20:05:44 2014	1393866344	0	102	103	83
Mon Mar 03 20:05:44 2014	1393866344	0	103	103	83
Mon Mar 03 20:05:44 2014	1393866344	0	103	103	83
Mon Mar 03 20:05:44 2014	1393866344	0	103	103	83
Mon Mar 03 20:05:44 2014	1393866344	0	103	103	83
Mon Mar 03 20:05:44 2014	1393866344	0	126	126	102
Mon Mar 03 20:05:44 2014	1393866344	0	126	127	102
Mon Mar 03 20:05:44 2014	1393866344	0	126	127	102
Mon Mar 03 20:05:44 2014	1393866344	0	126	127	102
Mon Mar 03 20:05:44 2014	1393866344	0	126	127	102
Mon Mar 03 20:05:44 2014	1393866344	0	126	127	102
Mon Mar 03 20:05:44 2014	1393866344	0	126	127	102
Mon Mar 03 20:05:44 2014	1393866344	0	126	127	102
Mon Mar 03 20:05:44 2014	1393866344	0	126	127	102
Mon Mar 03 20:05:44 2014	1393866344	0	126	127	102
Mon Mar 03 20:05:44 2014	1393866344	0	156	157	126
Mon Mar 03 20:05:44 2014	1393866344	1	156	157	126
Mon Mar 03 20:05:44 2014	1393866344	1	156	157	126
Mon Mar 03 20:05:44 2014	1393866344	1	156	157	126
Mon Mar 03 20:05:44 2014	1393866344	1	156	157	126
Mon Mar 03 20:05:44 2014	1393866344	1	156	157	126
Mon Mar 03 20:05:44 2014	1393866344	1	156	157	126
Mon Mar 03 20:05:44 2014	1393866344	1	156	157	126
Mon Mar 03 20:05:44 2014	1393866344	0	156	157	126
Mon Mar 03 20:05:44 2014	1393866344	0	156	157	126
Mon Mar 03 20:05:44 2014	1393866344	1	181	182	156
Mon Mar 03 20:05:44 2014	1393866344	1	181	182	156
Mon Mar 03 20:05:44 2014	1393866344	1	181	182	156
Mon Mar 03 20:05:44 2014	1393866344	1	181	182	156
Mon Mar 03 20:05:44 2014	1393866344	1	181	182	156
Mon Mar 03 20:05:44 2014	1393866344	1	181	182	156
Mon Mar 03 20:05:44 2014	1393866344	1	181	182	156
Mon Mar 03 20:05:44 2014	1393866344	1	181	182	156
Mon Mar 03 20:05:44 2014	1393866344	1	181	182	156
Mon Mar 03 20:05:44 2014	1393866344	1	181	182	156
Mon Mar 03 20:05:44 2014	1393866344	1	202	203	181
Mon Mar 03 20:05:44 2014	1393866344	1	202	203	181
Mon Mar 03 20:05:44 2014	1393866344	1	202	203	181
Mon Mar 03 20:05:44 2014	1393866344	1	202	203	181
Mon Mar 03 20:05:44 2014	1393866344	1	202	203	181
Mon Mar 03 20:05:44 2014	1393866344	1	202	203	181
Mon Mar 03 20:05:44 2014	1393866344	1	202	203	181
Mon Mar 03 20:05:44 2014	1393866344	1	202	203	181
Mon Mar 03 20:05:44 2014	1393866344	1	202	203	181
Mon Mar 03 20:05:44 2014	1393866344	1	202	203	181
Mon Mar 03 20:05:45 2014	1393866345	0	221	221	204
Mon Mar 03 20:05:45 2014	1393866345	0	221	221	204
Mon Mar 03 20:05:45 2014	1393866345	0	221	221	204
Mon Mar 03 20:05:45 2014	1393866345	0	221	221	204
Mon Mar 03 20:05:45 2014	1393866345	0	221	221	204
Mon Mar 03 20:05:45 2014	1393866345	0	221	221	204
Mon Mar 03 20:05:45 2014	1393866345	0	221	221	204
Mon Mar 03 20:05:45 2014	1393866345	0	221	221	204
Mon Mar 03 20:05:45 2014	1393866345	0	221	221	204
Mon Mar 03 20:05:45 2014	1393866345	0	221	221	204
Mon Mar 03 20:05:45 2014	1393866345	0	223	223	209
Mon Mar 03 20:05:45 2014	1393866345	0	223	223	209
Mon Mar 03 20:05:45 2014	1393866345	0	223	223	209
Mon Mar 03 20:05:45 2014	1393866345	0	223	223	209
Mon Mar 03 20:05:45 2014	1393866345	0	223	223	209
Mon Mar 03 20:05:45 2014	1393866345	0	223	223	209
Mon Mar 03 20:05:45 2014	1393866345	0	223	223	209
Mon Mar 03 20:05:45 2014	1393866345	0	223	223	209
Mon Mar 03 20:05:45 2014	1393866345	0	223	223	209
Mon Mar 03 20:05:45 2014	1393866345	0	223	223	209
Mon Mar 03 20:05:44 2014	1393866344	1	223	223	202
Mon Mar 03 20:05:44 2014	1393866344	1	223	223	202
Mon Mar 03 20:05:44 2014	1393866344	1	223	223	202
Mon Mar 03 20:05:44 2014	1393866344	1	223	223	202
Mon Mar 03 20:05:44 2014	1393866344	1	223	223	202
Mon Mar 03 20:05:44 2014	1393866344	1	223	223	202
Mon Mar 03 20:05:44 2014	1393866344	1	223	223	202
Mon Mar 03 20:05:44 2014	1393866344	1	223	223	202
Mon Mar 03 20:05:44 2014	1393866344	1	223	223	202
Mon Mar 03 20:05:44 2014	1393866344	1	223	224	202
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	208
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	208
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	208
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	208
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	208
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	208
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	208
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	208
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	208
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	208
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	207
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	207
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	207
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	207
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	207
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	207
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	207
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	207
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	207
Mon Mar 03 20:05:45 2014	1393866345	0	230	230	207
Mon Mar 03 20:05:45 2014	1393866345	0	235	235	214
Mon Mar 03 20:05:45 2014	1393866345	0	235	235	214
Mon Mar 03 20:05:45 2014	1393866345	0	235	235	214
Mon Mar 03 20:05:45 2014	1393866345	0	235	235	214
Mon Mar 03 20:05:45 2014	1393866345	0	235	235	214
Mon Mar 03 20:05:45 2014	1393866345	0	235	235	214
Mon Mar 03 20:05:45 2014	1393866345	0	235	235	214
Mon Mar 03 20:05:45 2014	1393866345	0	235	235	214
Mon Mar 03 20:05:45 2014	1393866345	0	235	235	214
Mon Mar 03 20:05:45 2014	1393866345	0	235	235	214
Mon Mar 03 20:05:45 2014	1393866345	0	236	236	208
Mon Mar 03 20:05:45 2014	1393866345	0	236	236	208
Mon Mar 03 20:05:45 2014	1393866345	0	236	236	209
Mon Mar 03 20:05:45 2014	1393866345	0	236	236	209
Mon Mar 03 20:05:45 2014	1393866345	0	236	236	209
Mon Mar 03 20:05:45 2014	1393866345	0	236	236	208
Mon Mar 03 20:05:45 2014	1393866345	0	236	236	209
Mon Mar 03 20:05:45 2014	1393866345	0	236	236	208
