starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 20:12:17 2014	1393866737	0	47	47	36
Mon Mar 03 20:12:17 2014	1393866737	0	47	47	36
Mon Mar 03 20:12:17 2014	1393866737	0	47	47	36
Mon Mar 03 20:12:17 2014	1393866737	0	47	47	36
Mon Mar 03 20:12:17 2014	1393866737	0	47	47	36
Mon Mar 03 20:12:17 2014	1393866737	0	47	47	36
Mon Mar 03 20:12:17 2014	1393866737	0	47	47	36
Mon Mar 03 20:12:17 2014	1393866737	0	47	47	36
Mon Mar 03 20:12:17 2014	1393866737	0	47	47	36
Mon Mar 03 20:12:17 2014	1393866737	0	47	47	36
Mon Mar 03 20:12:17 2014	1393866737	0	60	60	47
Mon Mar 03 20:12:17 2014	1393866737	0	60	60	47
Mon Mar 03 20:12:17 2014	1393866737	0	60	60	47
Mon Mar 03 20:12:17 2014	1393866737	0	60	60	47
Mon Mar 03 20:12:17 2014	1393866737	0	60	60	47
Mon Mar 03 20:12:17 2014	1393866737	0	60	60	47
Mon Mar 03 20:12:17 2014	1393866737	0	60	60	47
Mon Mar 03 20:12:17 2014	1393866737	0	60	60	47
Mon Mar 03 20:12:17 2014	1393866737	0	60	60	47
Mon Mar 03 20:12:17 2014	1393866737	0	60	60	47
Mon Mar 03 20:12:17 2014	1393866737	0	61	61	49
Mon Mar 03 20:12:17 2014	1393866737	0	61	61	49
Mon Mar 03 20:12:17 2014	1393866737	0	61	61	49
Mon Mar 03 20:12:17 2014	1393866737	0	61	61	49
Mon Mar 03 20:12:17 2014	1393866737	0	61	61	49
Mon Mar 03 20:12:17 2014	1393866737	0	61	61	49
Mon Mar 03 20:12:17 2014	1393866737	0	61	61	49
Mon Mar 03 20:12:17 2014	1393866737	0	61	61	49
Mon Mar 03 20:12:17 2014	1393866737	0	72	72	60
Mon Mar 03 20:12:17 2014	1393866737	0	72	72	60
Mon Mar 03 20:12:17 2014	1393866737	0	82	82	61
Mon Mar 03 20:12:17 2014	1393866737	0	82	82	61
Mon Mar 03 20:12:17 2014	1393866737	0	82	82	61
Mon Mar 03 20:12:17 2014	1393866737	0	82	82	61
Mon Mar 03 20:12:17 2014	1393866737	0	82	82	60
Mon Mar 03 20:12:17 2014	1393866737	0	82	82	61
Mon Mar 03 20:12:17 2014	1393866737	0	82	82	60
Mon Mar 03 20:12:17 2014	1393866737	0	82	82	60
Mon Mar 03 20:12:17 2014	1393866737	0	82	82	60
Mon Mar 03 20:12:17 2014	1393866737	0	82	82	60
Mon Mar 03 20:12:17 2014	1393866737	0	94	94	82
Mon Mar 03 20:12:17 2014	1393866737	0	94	94	82
Mon Mar 03 20:12:17 2014	1393866737	0	94	94	82
Mon Mar 03 20:12:17 2014	1393866737	0	94	94	82
Mon Mar 03 20:12:17 2014	1393866737	0	94	94	82
Mon Mar 03 20:12:17 2014	1393866737	0	94	94	82
Mon Mar 03 20:12:17 2014	1393866737	1	94	94	81
Mon Mar 03 20:12:17 2014	1393866737	0	94	94	82
Mon Mar 03 20:12:17 2014	1393866737	0	94	94	82
Mon Mar 03 20:12:17 2014	1393866737	1	94	94	82
Mon Mar 03 20:12:17 2014	1393866737	2	104	106	37
Mon Mar 03 20:12:17 2014	1393866737	2	104	106	37
Mon Mar 03 20:12:17 2014	1393866737	2	104	106	37
Mon Mar 03 20:12:17 2014	1393866737	2	104	106	37
Mon Mar 03 20:12:17 2014	1393866737	2	104	106	37
Mon Mar 03 20:12:17 2014	1393866737	2	104	106	37
Mon Mar 03 20:12:17 2014	1393866737	2	104	106	37
Mon Mar 03 20:12:17 2014	1393866737	2	104	106	37
Mon Mar 03 20:12:17 2014	1393866737	2	104	106	37
Mon Mar 03 20:12:17 2014	1393866737	2	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	2	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	2	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	1	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	1	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	1	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	1	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	1	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	1	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	1	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	1	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	1	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	1	105	106	37
Mon Mar 03 20:12:17 2014	1393866737	1	112	113	94
Mon Mar 03 20:12:17 2014	1393866737	1	112	113	93
Mon Mar 03 20:12:17 2014	1393866737	1	112	113	93
Mon Mar 03 20:12:17 2014	1393866737	1	112	113	94
Mon Mar 03 20:12:17 2014	1393866737	1	112	113	93
Mon Mar 03 20:12:17 2014	1393866737	1	112	113	94
Mon Mar 03 20:12:17 2014	1393866737	1	112	113	93
Mon Mar 03 20:12:17 2014	1393866737	1	112	113	93
Mon Mar 03 20:12:17 2014	1393866737	1	112	113	93
Mon Mar 03 20:12:17 2014	1393866737	1	112	113	93
Mon Mar 03 20:12:17 2014	1393866737	1	116	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	116	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	116	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	116	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	116	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	116	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	116	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	116	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	116	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
Mon Mar 03 20:12:17 2014	1393866737	1	117	118	105
