starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 17:49:59 2014	1393858199	0	9	9	8
Mon Mar 03 17:49:59 2014	1393858199	0	9	9	8
Mon Mar 03 17:49:59 2014	1393858199	0	9	9	8
Mon Mar 03 17:49:59 2014	1393858199	0	9	9	8
Mon Mar 03 17:49:59 2014	1393858199	0	9	9	8
Mon Mar 03 17:49:59 2014	1393858199	0	9	9	8
Mon Mar 03 17:49:59 2014	1393858199	0	9	9	8
Mon Mar 03 17:49:59 2014	1393858199	0	9	9	8
Mon Mar 03 17:49:59 2014	1393858199	0	9	9	8
Mon Mar 03 17:49:59 2014	1393858199	0	9	9	8
Mon Mar 03 17:49:59 2014	1393858199	3	20	23	19
Mon Mar 03 17:49:59 2014	1393858199	3	20	23	19
Mon Mar 03 17:49:59 2014	1393858199	0	31	31	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	31	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	31	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	31	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	0	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	30
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	31	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	32	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	32	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	32	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	32	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	32	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	32	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	32	32	29
Mon Mar 03 17:49:59 2014	1393858199	1	32	32	29
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	38
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	38
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	38
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	38
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	38
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	38
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	38
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	38
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	38
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	38
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	38
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	37
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	37
Mon Mar 03 17:49:59 2014	1393858199	0	39	39	37
