starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 06 16:50:53 2014	1394113853	2	51	53	49
Thu Mar 06 16:50:53 2014	1394113853	2	51	53	49
Thu Mar 06 16:50:53 2014	1394113853	2	52	54	49
Thu Mar 06 16:50:53 2014	1394113853	2	52	54	49
Thu Mar 06 16:50:53 2014	1394113853	2	52	54	50
Thu Mar 06 16:50:53 2014	1394113853	2	52	54	50
Thu Mar 06 16:50:53 2014	1394113853	2	52	54	50
Thu Mar 06 16:50:53 2014	1394113853	2	52	54	50
Thu Mar 06 16:50:53 2014	1394113853	2	52	54	50
Thu Mar 06 16:50:53 2014	1394113853	2	52	54	50
Thu Mar 06 16:50:53 2014	1394113853	1	52	54	50
Thu Mar 06 16:50:53 2014	1394113853	1	52	54	50
Thu Mar 06 16:50:53 2014	1394113853	1	52	54	50
Thu Mar 06 16:50:53 2014	1394113853	1	52	54	51
Thu Mar 06 16:50:53 2014	1394113853	1	52	54	51
Thu Mar 06 16:50:53 2014	1394113853	1	53	54	51
Thu Mar 06 16:50:53 2014	1394113853	1	53	54	51
Thu Mar 06 16:50:53 2014	1394113853	1	53	54	51
Thu Mar 06 16:50:53 2014	1394113853	1	53	54	51
Thu Mar 06 16:50:53 2014	1394113853	1	53	54	51
Thu Mar 06 16:50:53 2014	1394113853	1	53	54	51
Thu Mar 06 16:50:53 2014	1394113853	1	53	54	52
Thu Mar 06 16:50:53 2014	1394113853	1	53	54	52
Thu Mar 06 16:50:53 2014	1394113853	1	53	54	52
Thu Mar 06 16:50:53 2014	1394113853	1	53	54	52
Thu Mar 06 16:50:53 2014	1394113853	1	53	54	52
Thu Mar 06 16:50:53 2014	1394113853	0	54	54	52
Thu Mar 06 16:50:53 2014	1394113853	1	54	54	52
Thu Mar 06 16:50:53 2014	1394113853	1	54	54	52
Thu Mar 06 16:50:53 2014	1394113853	1	54	54	52
Thu Mar 06 16:50:53 2014	1394113853	0	54	54	53
Thu Mar 06 16:50:53 2014	1394113853	0	54	54	53
Thu Mar 06 16:50:53 2014	1394113853	0	54	54	53
Thu Mar 06 16:50:53 2014	1394113853	0	54	54	53
Thu Mar 06 16:50:53 2014	1394113853	2	57	59	57
Thu Mar 06 16:50:53 2014	1394113853	2	57	59	57
Thu Mar 06 16:50:53 2014	1394113853	2	57	59	57
Thu Mar 06 16:50:53 2014	1394113853	0	63	63	63
Thu Mar 06 16:50:53 2014	1394113853	0	63	63	62
Thu Mar 06 16:50:53 2014	1394113853	1	62	64	62
Thu Mar 06 16:50:53 2014	1394113853	0	64	64	64
Thu Mar 06 16:50:53 2014	1394113853	2	64	66	63
Thu Mar 06 16:50:53 2014	1394113853	0	68	68	67
Thu Mar 06 16:50:53 2014	1394113853	0	68	68	68
Thu Mar 06 16:50:53 2014	1394113853	0	68	68	68
Thu Mar 06 16:50:53 2014	1394113853	2	67	69	67
Thu Mar 06 16:50:53 2014	1394113853	0	69	69	69
Thu Mar 06 16:50:53 2014	1394113853	0	69	69	69
Thu Mar 06 16:50:53 2014	1394113853	2	68	69	68
Thu Mar 06 16:50:53 2014	1394113853	0	70	70	70
Thu Mar 06 16:50:53 2014	1394113853	1	69	70	69
Thu Mar 06 16:50:53 2014	1394113853	1	72	72	72
Thu Mar 06 16:50:53 2014	1394113853	2	71	72	70
Thu Mar 06 16:50:53 2014	1394113853	2	71	73	71
Thu Mar 06 16:50:53 2014	1394113853	2	71	73	70
Thu Mar 06 16:50:53 2014	1394113853	0	73	73	72
Thu Mar 06 16:50:53 2014	1394113853	0	73	73	73
Thu Mar 06 16:50:53 2014	1394113853	0	74	74	74
Thu Mar 06 16:50:53 2014	1394113853	1	74	74	73
Thu Mar 06 16:50:53 2014	1394113853	1	74	74	74
Thu Mar 06 16:50:53 2014	1394113853	0	74	75	74
Thu Mar 06 16:50:53 2014	1394113853	1	74	75	73
Thu Mar 06 16:50:53 2014	1394113853	0	75	75	74
Thu Mar 06 16:50:53 2014	1394113853	0	75	75	75
Thu Mar 06 16:50:53 2014	1394113853	1	74	75	74
Thu Mar 06 16:50:53 2014	1394113853	2	74	75	73
Thu Mar 06 16:50:53 2014	1394113853	0	75	75	75
Thu Mar 06 16:50:53 2014	1394113853	0	75	75	75
Thu Mar 06 16:50:53 2014	1394113853	0	75	75	75
Thu Mar 06 16:50:53 2014	1394113853	0	75	75	75
Thu Mar 06 16:50:53 2014	1394113853	0	76	76	75
Thu Mar 06 16:50:53 2014	1394113853	0	76	76	76
Thu Mar 06 16:50:53 2014	1394113853	0	76	76	76
Thu Mar 06 16:50:53 2014	1394113853	0	77	77	76
Thu Mar 06 16:50:53 2014	1394113853	0	77	77	77
Thu Mar 06 16:50:53 2014	1394113853	0	77	77	77
Thu Mar 06 16:50:53 2014	1394113853	0	77	77	76
Thu Mar 06 16:50:53 2014	1394113853	1	76	77	76
Thu Mar 06 16:50:53 2014	1394113853	0	77	77	77
Thu Mar 06 16:50:53 2014	1394113853	0	77	77	77
Thu Mar 06 16:50:53 2014	1394113853	2	76	78	76
Thu Mar 06 16:50:53 2014	1394113853	0	78	78	78
Thu Mar 06 16:50:53 2014	1394113853	0	77	78	77
Thu Mar 06 16:50:53 2014	1394113853	0	78	78	77
Thu Mar 06 16:50:53 2014	1394113853	0	78	78	78
Thu Mar 06 16:50:53 2014	1394113853	0	78	78	78
Thu Mar 06 16:50:53 2014	1394113853	0	79	79	79
Thu Mar 06 16:50:53 2014	1394113853	0	79	79	79
Thu Mar 06 16:50:53 2014	1394113853	0	79	79	79
Thu Mar 06 16:50:53 2014	1394113853	0	79	79	79
Thu Mar 06 16:50:53 2014	1394113853	0	79	79	79
Thu Mar 06 16:50:53 2014	1394113853	0	79	79	79
Thu Mar 06 16:50:53 2014	1394113853	0	80	80	80
Thu Mar 06 16:50:53 2014	1394113853	1	79	80	78
Thu Mar 06 16:50:53 2014	1394113853	0	80	80	80
Thu Mar 06 16:50:53 2014	1394113853	1	79	80	79
Thu Mar 06 16:50:53 2014	1394113853	0	80	80	80
Thu Mar 06 16:50:53 2014	1394113853	0	80	80	80
Thu Mar 06 16:50:53 2014	1394113853	2	79	80	78
Thu Mar 06 16:50:53 2014	1394113853	0	80	81	80
Thu Mar 06 16:50:53 2014	1394113853	0	82	82	82
Thu Mar 06 16:50:53 2014	1394113853	0	82	82	82
Thu Mar 06 16:50:53 2014	1394113853	0	82	82	82
Thu Mar 06 16:50:53 2014	1394113853	0	82	82	82
Thu Mar 06 16:50:53 2014	1394113853	0	82	82	82
Thu Mar 06 16:50:53 2014	1394113853	0	83	83	82
Thu Mar 06 16:50:53 2014	1394113853	1	82	83	82
Thu Mar 06 16:50:53 2014	1394113853	1	82	83	82
Thu Mar 06 16:50:53 2014	1394113853	0	83	83	83
Thu Mar 06 16:50:53 2014	1394113853	1	83	83	82
Thu Mar 06 16:50:53 2014	1394113853	0	83	83	83
Thu Mar 06 16:50:53 2014	1394113853	0	84	84	84
Thu Mar 06 16:50:53 2014	1394113853	0	84	84	84
Thu Mar 06 16:50:53 2014	1394113853	0	84	84	84
Thu Mar 06 16:50:53 2014	1394113853	0	85	85	85
Thu Mar 06 16:50:53 2014	1394113853	1	84	85	84
Thu Mar 06 16:50:53 2014	1394113853	1	84	85	84
Thu Mar 06 16:50:53 2014	1394113853	1	84	85	84
Thu Mar 06 16:50:53 2014	1394113853	0	85	85	85
Thu Mar 06 16:50:53 2014	1394113853	0	86	86	85
Thu Mar 06 16:50:53 2014	1394113853	0	86	86	85
Thu Mar 06 16:50:53 2014	1394113853	0	86	86	86
Thu Mar 06 16:50:53 2014	1394113853	0	86	86	86
Thu Mar 06 16:50:53 2014	1394113853	0	86	86	86
Thu Mar 06 16:50:53 2014	1394113853	0	87	87	87
Thu Mar 06 16:50:53 2014	1394113853	0	87	88	87
Thu Mar 06 16:50:53 2014	1394113853	0	87	88	87
Thu Mar 06 16:50:53 2014	1394113853	0	88	88	88
Thu Mar 06 16:50:53 2014	1394113853	0	88	88	88
Thu Mar 06 16:50:53 2014	1394113853	0	89	89	89
Thu Mar 06 16:50:53 2014	1394113853	1	88	89	88
Thu Mar 06 16:50:53 2014	1394113853	1	89	90	89
Thu Mar 06 16:50:53 2014	1394113853	0	90	90	89
Thu Mar 06 16:50:53 2014	1394113853	0	90	90	89
Thu Mar 06 16:50:53 2014	1394113853	0	90	90	89
Thu Mar 06 16:50:53 2014	1394113853	0	90	90	90
Thu Mar 06 16:50:53 2014	1394113853	0	90	90	90
Thu Mar 06 16:50:53 2014	1394113853	0	90	90	90
Thu Mar 06 16:50:53 2014	1394113853	0	91	91	90
Thu Mar 06 16:50:53 2014	1394113853	0	91	91	91
Thu Mar 06 16:50:53 2014	1394113853	0	91	91	91
Thu Mar 06 16:50:53 2014	1394113853	0	91	91	91
Thu Mar 06 16:50:53 2014	1394113853	0	92	92	91
Thu Mar 06 16:50:53 2014	1394113853	0	92	92	91
Thu Mar 06 16:50:53 2014	1394113853	0	92	92	92
Thu Mar 06 16:50:53 2014	1394113853	0	92	92	92
Thu Mar 06 16:50:53 2014	1394113853	0	92	92	92
Thu Mar 06 16:50:53 2014	1394113853	1	91	93	91
Thu Mar 06 16:50:53 2014	1394113853	1	91	93	91
Thu Mar 06 16:50:53 2014	1394113853	0	93	93	93
Thu Mar 06 16:50:53 2014	1394113853	0	93	93	93
Thu Mar 06 16:50:53 2014	1394113853	0	93	93	93
Thu Mar 06 16:50:53 2014	1394113853	0	93	93	93
Thu Mar 06 16:50:53 2014	1394113853	0	93	93	93
Thu Mar 06 16:50:53 2014	1394113853	0	94	94	93
Thu Mar 06 16:50:52 2014	1394113852	0	94	94	88
Thu Mar 06 16:50:52 2014	1394113852	0	94	94	88
Thu Mar 06 16:50:52 2014	1394113852	0	94	94	88
Thu Mar 06 16:50:52 2014	1394113852	0	94	94	88
Thu Mar 06 16:50:52 2014	1394113852	0	94	94	88
Thu Mar 06 16:50:52 2014	1394113852	0	94	94	88
Thu Mar 06 16:50:53 2014	1394113853	0	94	94	94
Thu Mar 06 16:50:53 2014	1394113853	0	94	95	94
Thu Mar 06 16:50:53 2014	1394113853	0	94	95	94
Thu Mar 06 16:50:53 2014	1394113853	0	95	95	95
Thu Mar 06 16:50:53 2014	1394113853	1	94	95	94
Thu Mar 06 16:50:53 2014	1394113853	0	95	95	95
Thu Mar 06 16:50:53 2014	1394113853	0	95	95	95
Thu Mar 06 16:50:53 2014	1394113853	0	95	95	95
Thu Mar 06 16:50:53 2014	1394113853	0	95	95	95
Thu Mar 06 16:50:53 2014	1394113853	0	95	95	95
Thu Mar 06 16:50:53 2014	1394113853	1	95	96	95
Thu Mar 06 16:50:54 2014	1394113854	0	96	96	96
Thu Mar 06 16:50:54 2014	1394113854	0	96	96	96
Thu Mar 06 16:50:53 2014	1394113853	0	96	96	96
Thu Mar 06 16:50:53 2014	1394113853	0	96	96	96
Thu Mar 06 16:50:53 2014	1394113853	0	96	96	96
Thu Mar 06 16:50:53 2014	1394113853	1	96	97	96
Thu Mar 06 16:50:53 2014	1394113853	0	97	97	97
Thu Mar 06 16:50:53 2014	1394113853	1	96	97	96
Thu Mar 06 16:50:53 2014	1394113853	1	96	97	96
Thu Mar 06 16:50:53 2014	1394113853	0	97	97	97
Thu Mar 06 16:50:53 2014	1394113853	0	97	97	97
Thu Mar 06 16:50:53 2014	1394113853	1	96	97	96
Thu Mar 06 16:50:53 2014	1394113853	0	98	98	98
Thu Mar 06 16:50:53 2014	1394113853	0	98	98	98
Thu Mar 06 16:50:53 2014	1394113853	0	98	98	98
Thu Mar 06 16:50:53 2014	1394113853	0	98	99	98
Thu Mar 06 16:50:53 2014	1394113853	0	99	99	99
Thu Mar 06 16:50:53 2014	1394113853	0	99	99	99
Thu Mar 06 16:50:54 2014	1394113854	0	99	99	99
Thu Mar 06 16:50:53 2014	1394113853	1	98	99	98
Thu Mar 06 16:50:53 2014	1394113853	1	98	99	98
Thu Mar 06 16:50:53 2014	1394113853	1	98	99	98
Thu Mar 06 16:50:53 2014	1394113853	1	98	99	98
Thu Mar 06 16:50:53 2014	1394113853	0	99	99	99
Thu Mar 06 16:50:54 2014	1394113854	0	99	99	99
Thu Mar 06 16:50:54 2014	1394113854	0	99	99	99
Thu Mar 06 16:50:54 2014	1394113854	0	100	100	99
Thu Mar 06 16:50:53 2014	1394113853	1	99	100	99
Thu Mar 06 16:50:52 2014	1394113852	0	100	100	95
Thu Mar 06 16:50:52 2014	1394113852	0	100	100	95
Thu Mar 06 16:50:53 2014	1394113853	0	101	101	100
Thu Mar 06 16:50:53 2014	1394113853	0	101	101	100
Thu Mar 06 16:50:53 2014	1394113853	0	101	101	100
Thu Mar 06 16:50:54 2014	1394113854	0	101	101	101
Thu Mar 06 16:50:54 2014	1394113854	0	101	101	101
Thu Mar 06 16:50:53 2014	1394113853	0	101	101	101
Thu Mar 06 16:50:53 2014	1394113853	0	101	101	101
Thu Mar 06 16:50:53 2014	1394113853	0	101	101	101
Thu Mar 06 16:50:53 2014	1394113853	0	102	102	101
Thu Mar 06 16:50:53 2014	1394113853	0	102	102	102
Thu Mar 06 16:50:53 2014	1394113853	0	102	102	102
Thu Mar 06 16:50:53 2014	1394113853	0	102	102	102
Thu Mar 06 16:50:53 2014	1394113853	0	102	102	102
Thu Mar 06 16:50:53 2014	1394113853	0	102	102	102
Thu Mar 06 16:50:53 2014	1394113853	1	102	102	102
Thu Mar 06 16:50:53 2014	1394113853	0	103	103	103
Thu Mar 06 16:50:53 2014	1394113853	2	102	103	102
Thu Mar 06 16:50:53 2014	1394113853	0	103	103	103
Thu Mar 06 16:50:53 2014	1394113853	0	104	104	104
Thu Mar 06 16:50:53 2014	1394113853	2	102	104	102
Thu Mar 06 16:50:53 2014	1394113853	1	103	104	103
Thu Mar 06 16:50:53 2014	1394113853	0	104	104	104
Thu Mar 06 16:50:53 2014	1394113853	1	104	104	103
Thu Mar 06 16:50:53 2014	1394113853	0	104	104	104
Thu Mar 06 16:50:53 2014	1394113853	0	104	104	104
Thu Mar 06 16:50:53 2014	1394113853	2	103	104	103
Thu Mar 06 16:50:53 2014	1394113853	0	104	105	104
Thu Mar 06 16:50:53 2014	1394113853	0	104	105	104
Thu Mar 06 16:50:53 2014	1394113853	0	104	105	104
Thu Mar 06 16:50:53 2014	1394113853	0	105	105	104
Thu Mar 06 16:50:53 2014	1394113853	0	105	105	104
Thu Mar 06 16:50:53 2014	1394113853	0	105	105	104
Thu Mar 06 16:50:54 2014	1394113854	0	105	105	105
Thu Mar 06 16:50:54 2014	1394113854	0	105	105	105
Thu Mar 06 16:50:53 2014	1394113853	0	105	105	104
Thu Mar 06 16:50:53 2014	1394113853	0	105	105	105
Thu Mar 06 16:50:53 2014	1394113853	0	105	105	105
Thu Mar 06 16:50:53 2014	1394113853	0	105	105	105
Thu Mar 06 16:50:53 2014	1394113853	0	105	105	105
Thu Mar 06 16:50:53 2014	1394113853	0	105	105	105
Thu Mar 06 16:50:54 2014	1394113854	0	105	106	105
Thu Mar 06 16:50:54 2014	1394113854	0	105	106	105
Thu Mar 06 16:50:53 2014	1394113853	0	105	106	105
Thu Mar 06 16:50:53 2014	1394113853	0	106	106	106
Thu Mar 06 16:50:53 2014	1394113853	0	107	107	107
Thu Mar 06 16:50:53 2014	1394113853	0	107	107	107
Thu Mar 06 16:50:53 2014	1394113853	0	107	107	107
Thu Mar 06 16:50:53 2014	1394113853	0	107	107	107
Thu Mar 06 16:50:53 2014	1394113853	0	107	107	107
Thu Mar 06 16:50:53 2014	1394113853	1	106	107	105
Thu Mar 06 16:50:53 2014	1394113853	0	107	107	107
Thu Mar 06 16:50:52 2014	1394113852	3	104	107	104
Thu Mar 06 16:50:53 2014	1394113853	0	107	107	107
Thu Mar 06 16:50:53 2014	1394113853	2	106	107	106
Thu Mar 06 16:50:53 2014	1394113853	0	107	107	107
Thu Mar 06 16:50:53 2014	1394113853	0	107	107	107
Thu Mar 06 16:50:53 2014	1394113853	0	107	107	107
Thu Mar 06 16:50:53 2014	1394113853	0	108	108	107
Thu Mar 06 16:50:54 2014	1394113854	0	108	108	107
Thu Mar 06 16:50:53 2014	1394113853	0	108	108	107
Thu Mar 06 16:50:53 2014	1394113853	1	107	108	107
Thu Mar 06 16:50:53 2014	1394113853	1	107	108	107
Thu Mar 06 16:50:54 2014	1394113854	0	108	108	108
Thu Mar 06 16:50:53 2014	1394113853	1	107	108	107
Thu Mar 06 16:50:53 2014	1394113853	1	107	108	107
Thu Mar 06 16:50:53 2014	1394113853	0	108	108	108
Thu Mar 06 16:50:53 2014	1394113853	0	108	108	108
Thu Mar 06 16:50:53 2014	1394113853	0	108	108	108
Thu Mar 06 16:50:53 2014	1394113853	0	108	108	108
Thu Mar 06 16:50:53 2014	1394113853	0	108	109	108
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	107
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	108
Thu Mar 06 16:50:53 2014	1394113853	0	108	109	108
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:53 2014	1394113853	1	108	109	108
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:54 2014	1394113854	0	109	109	108
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	107
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	109	109
Thu Mar 06 16:50:54 2014	1394113854	0	109	109	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	110	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	110	109
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	110	109
Thu Mar 06 16:50:53 2014	1394113853	0	109	110	109
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	109
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
Thu Mar 06 16:50:53 2014	1394113853	0	110	110	110
