starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 17:52:00 2014	1393858320	0	9	9	9
Mon Mar 03 17:52:00 2014	1393858320	0	13	13	13
Mon Mar 03 17:52:00 2014	1393858320	0	25	25	25
Mon Mar 03 17:52:00 2014	1393858320	0	25	25	25
Mon Mar 03 17:51:55 2014	1393858315	0	30	30	29
Mon Mar 03 17:51:55 2014	1393858315	0	30	30	29
Mon Mar 03 17:51:55 2014	1393858315	0	30	30	30
Mon Mar 03 17:51:54 2014	1393858314	1	73	74	72
Mon Mar 03 17:51:54 2014	1393858314	1	73	74	72
Mon Mar 03 17:51:54 2014	1393858314	2	73	74	72
Mon Mar 03 17:51:54 2014	1393858314	2	73	74	72
Mon Mar 03 17:51:54 2014	1393858314	2	73	74	72
Mon Mar 03 17:51:54 2014	1393858314	2	73	74	72
Mon Mar 03 17:51:54 2014	1393858314	2	73	74	72
Mon Mar 03 17:51:58 2014	1393858318	1	161	162	153
Mon Mar 03 17:51:58 2014	1393858318	1	161	162	153
Mon Mar 03 17:51:58 2014	1393858318	1	161	162	153
Mon Mar 03 17:51:58 2014	1393858318	0	162	163	155
Mon Mar 03 17:51:58 2014	1393858318	0	162	163	155
Mon Mar 03 17:51:58 2014	1393858318	1	162	163	153
Mon Mar 03 17:51:58 2014	1393858318	1	162	163	154
Mon Mar 03 17:51:58 2014	1393858318	0	162	163	155
Mon Mar 03 17:51:58 2014	1393858318	1	162	163	154
Mon Mar 03 17:51:58 2014	1393858318	1	162	163	154
Mon Mar 03 17:51:58 2014	1393858318	0	162	163	155
Mon Mar 03 17:51:58 2014	1393858318	0	162	163	155
Mon Mar 03 17:51:58 2014	1393858318	1	162	163	154
Mon Mar 03 17:51:58 2014	1393858318	1	162	163	154
Mon Mar 03 17:51:58 2014	1393858318	1	162	163	154
Mon Mar 03 17:51:58 2014	1393858318	0	162	163	154
Mon Mar 03 17:51:58 2014	1393858318	0	162	163	155
Mon Mar 03 17:51:58 2014	1393858318	1	162	163	154
Mon Mar 03 17:51:58 2014	1393858318	1	162	163	154
Mon Mar 03 17:51:58 2014	1393858318	1	162	163	154
Mon Mar 03 17:51:58 2014	1393858318	0	162	163	155
Mon Mar 03 17:51:58 2014	1393858318	0	162	163	154
