starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 17:53:51 2014	1393858431	3	33	36	33
Mon Mar 03 17:53:51 2014	1393858431	3	33	36	33
Mon Mar 03 17:53:51 2014	1393858431	3	33	36	33
Mon Mar 03 17:53:51 2014	1393858431	3	52	55	52
Mon Mar 03 17:53:51 2014	1393858431	3	52	55	52
Mon Mar 03 17:53:51 2014	1393858431	3	52	55	52
Mon Mar 03 17:53:51 2014	1393858431	3	60	63	60
Mon Mar 03 17:53:51 2014	1393858431	3	73	76	73
Mon Mar 03 17:53:51 2014	1393858431	3	73	76	73
Mon Mar 03 17:53:51 2014	1393858431	3	81	83	81
Mon Mar 03 17:53:51 2014	1393858431	3	88	91	88
Mon Mar 03 17:53:51 2014	1393858431	3	120	123	120
Mon Mar 03 17:53:51 2014	1393858431	3	120	123	120
Mon Mar 03 17:53:51 2014	1393858431	3	125	128	125
Mon Mar 03 17:53:51 2014	1393858431	3	134	136	134
Mon Mar 03 17:53:51 2014	1393858431	3	149	152	149
Mon Mar 03 17:53:51 2014	1393858431	2	150	152	149
Mon Mar 03 17:53:51 2014	1393858431	2	157	160	157
Mon Mar 03 17:53:51 2014	1393858431	3	173	175	172
Mon Mar 03 17:53:51 2014	1393858431	3	173	175	173
Mon Mar 03 17:53:51 2014	1393858431	3	183	185	183
Mon Mar 03 17:53:51 2014	1393858431	2	187	190	187
Mon Mar 03 17:53:51 2014	1393858431	3	199	201	198
Mon Mar 03 17:53:51 2014	1393858431	2	216	218	216
Mon Mar 03 17:53:51 2014	1393858431	2	216	218	216
Mon Mar 03 17:53:51 2014	1393858431	2	221	224	221
Mon Mar 03 17:53:51 2014	1393858431	2	230	232	230
Mon Mar 03 17:53:51 2014	1393858431	2	237	239	237
Mon Mar 03 17:53:51 2014	1393858431	3	252	255	252
Mon Mar 03 17:53:51 2014	1393858431	2	252	255	252
Mon Mar 03 17:53:51 2014	1393858431	3	261	264	261
Mon Mar 03 17:53:51 2014	1393858431	3	268	270	268
Mon Mar 03 17:53:51 2014	1393858431	2	287	290	287
Mon Mar 03 17:53:51 2014	1393858431	2	288	290	288
Mon Mar 03 17:53:51 2014	1393858431	2	297	299	297
Mon Mar 03 17:53:51 2014	1393858431	2	297	299	297
Mon Mar 03 17:53:51 2014	1393858431	3	304	307	304
Mon Mar 03 17:53:51 2014	1393858431	2	328	330	328
Mon Mar 03 17:53:51 2014	1393858431	2	328	331	328
Mon Mar 03 17:53:51 2014	1393858431	3	328	331	328
Mon Mar 03 17:53:51 2014	1393858431	2	339	342	339
Mon Mar 03 17:53:51 2014	1393858431	3	347	350	347
Mon Mar 03 17:53:51 2014	1393858431	2	355	357	355
Mon Mar 03 17:53:51 2014	1393858431	3	360	363	360
Mon Mar 03 17:53:51 2014	1393858431	2	375	377	375
Mon Mar 03 17:53:51 2014	1393858431	2	376	378	376
Mon Mar 03 17:53:51 2014	1393858431	2	383	386	383
Mon Mar 03 17:53:51 2014	1393858431	2	389	391	389
Mon Mar 03 17:53:51 2014	1393858431	3	393	396	393
Mon Mar 03 17:53:51 2014	1393858431	2	401	403	400
Mon Mar 03 17:53:51 2014	1393858431	2	415	417	415
Mon Mar 03 17:53:51 2014	1393858431	2	415	417	415
Mon Mar 03 17:53:51 2014	1393858431	2	435	436	434
Mon Mar 03 17:53:51 2014	1393858431	2	435	437	435
