starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 06 16:45:00 2014	1394113500	2	9	11	8
Thu Mar 06 16:45:00 2014	1394113500	2	11	13	10
Thu Mar 06 16:45:00 2014	1394113500	2	12	14	12
Thu Mar 06 16:45:00 2014	1394113500	2	13	15	13
Thu Mar 06 16:45:00 2014	1394113500	2	14	16	14
Thu Mar 06 16:45:00 2014	1394113500	2	16	18	16
Thu Mar 06 16:45:00 2014	1394113500	2	17	19	17
Thu Mar 06 16:45:00 2014	1394113500	2	20	22	19
Thu Mar 06 16:45:00 2014	1394113500	2	20	22	20
Thu Mar 06 16:45:00 2014	1394113500	2	21	23	21
Thu Mar 06 16:45:00 2014	1394113500	2	23	24	22
Thu Mar 06 16:45:00 2014	1394113500	2	24	26	24
Thu Mar 06 16:45:00 2014	1394113500	2	25	27	25
Thu Mar 06 16:45:00 2014	1394113500	2	26	28	26
Thu Mar 06 16:45:00 2014	1394113500	2	28	30	28
Thu Mar 06 16:45:00 2014	1394113500	2	29	31	29
Thu Mar 06 16:45:00 2014	1394113500	2	30	32	30
Thu Mar 06 16:45:00 2014	1394113500	2	32	34	32
Thu Mar 06 16:45:00 2014	1394113500	2	33	35	33
Thu Mar 06 16:45:00 2014	1394113500	2	34	36	34
Thu Mar 06 16:45:00 2014	1394113500	2	36	37	35
Thu Mar 06 16:45:00 2014	1394113500	2	37	38	37
Thu Mar 06 16:45:00 2014	1394113500	2	38	39	38
Thu Mar 06 16:45:00 2014	1394113500	2	39	41	39
Thu Mar 06 16:45:00 2014	1394113500	2	41	43	41
Thu Mar 06 16:45:00 2014	1394113500	2	43	44	43
Thu Mar 06 16:45:00 2014	1394113500	2	44	45	44
Thu Mar 06 16:45:00 2014	1394113500	2	45	47	45
Thu Mar 06 16:45:00 2014	1394113500	2	46	48	46
Thu Mar 06 16:45:00 2014	1394113500	2	48	49	47
Thu Mar 06 16:45:00 2014	1394113500	2	49	51	49
Thu Mar 06 16:45:00 2014	1394113500	1	51	53	51
Thu Mar 06 16:45:00 2014	1394113500	1	53	54	53
Thu Mar 06 16:45:00 2014	1394113500	1	55	56	54
Thu Mar 06 16:45:00 2014	1394113500	1	57	58	56
Thu Mar 06 16:45:00 2014	1394113500	1	58	60	58
Thu Mar 06 16:45:00 2014	1394113500	1	60	62	60
Thu Mar 06 16:45:00 2014	1394113500	1	65	67	65
Thu Mar 06 16:45:00 2014	1394113500	1	67	68	67
Thu Mar 06 16:45:00 2014	1394113500	1	69	70	69
Thu Mar 06 16:45:00 2014	1394113500	1	71	72	70
Thu Mar 06 16:45:00 2014	1394113500	1	72	74	72
Thu Mar 06 16:45:00 2014	1394113500	1	74	75	74
Thu Mar 06 16:45:00 2014	1394113500	1	76	77	76
Thu Mar 06 16:45:00 2014	1394113500	1	78	79	77
Thu Mar 06 16:45:00 2014	1394113500	1	79	81	79
Thu Mar 06 16:45:00 2014	1394113500	1	81	82	81
Thu Mar 06 16:45:00 2014	1394113500	1	83	84	83
Thu Mar 06 16:45:00 2014	1394113500	1	84	86	84
Thu Mar 06 16:45:00 2014	1394113500	1	86	87	86
Thu Mar 06 16:45:00 2014	1394113500	1	88	89	88
Thu Mar 06 16:45:00 2014	1394113500	1	90	91	89
Thu Mar 06 16:45:00 2014	1394113500	1	91	93	91
Thu Mar 06 16:45:00 2014	1394113500	1	93	94	93
Thu Mar 06 16:45:00 2014	1394113500	1	95	96	95
Thu Mar 06 16:45:00 2014	1394113500	1	97	98	97
Thu Mar 06 16:45:00 2014	1394113500	1	98	100	98
Thu Mar 06 16:45:00 2014	1394113500	1	100	101	100
Thu Mar 06 16:45:00 2014	1394113500	1	102	103	102
Thu Mar 06 16:45:00 2014	1394113500	1	104	105	103
Thu Mar 06 16:45:00 2014	1394113500	1	105	106	105
Thu Mar 06 16:45:00 2014	1394113500	1	107	108	107
Thu Mar 06 16:45:00 2014	1394113500	1	109	110	109
Thu Mar 06 16:45:00 2014	1394113500	1	111	112	110
Thu Mar 06 16:45:00 2014	1394113500	1	112	114	112
Thu Mar 06 16:45:00 2014	1394113500	1	114	115	114
Thu Mar 06 16:45:00 2014	1394113500	1	116	117	116
Thu Mar 06 16:45:00 2014	1394113500	1	118	119	117
Thu Mar 06 16:45:00 2014	1394113500	1	119	120	119
Thu Mar 06 16:45:00 2014	1394113500	1	121	122	121
Thu Mar 06 16:45:00 2014	1394113500	1	123	124	123
Thu Mar 06 16:45:00 2014	1394113500	1	125	126	124
Thu Mar 06 16:45:00 2014	1394113500	1	126	127	126
Thu Mar 06 16:45:00 2014	1394113500	1	128	129	128
Thu Mar 06 16:45:00 2014	1394113500	1	130	131	130
