starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 18:30:38 2014	1393860638	2	8	10	7
Mon Mar 03 18:30:38 2014	1393860638	2	14	16	13
Mon Mar 03 18:30:38 2014	1393860638	2	18	20	18
Mon Mar 03 18:30:38 2014	1393860638	2	27	30	27
Mon Mar 03 18:30:38 2014	1393860638	2	32	35	32
Mon Mar 03 18:30:38 2014	1393860638	2	37	40	37
Mon Mar 03 18:30:38 2014	1393860638	2	45	47	44
Mon Mar 03 18:30:38 2014	1393860638	2	50	53	50
Mon Mar 03 18:30:38 2014	1393860638	2	58	60	58
Mon Mar 03 18:30:38 2014	1393860638	2	66	68	66
Mon Mar 03 18:30:38 2014	1393860638	2	74	76	73
Mon Mar 03 18:30:38 2014	1393860638	2	81	83	81
Mon Mar 03 18:30:38 2014	1393860638	2	89	91	89
Mon Mar 03 18:30:38 2014	1393860638	2	94	96	94
Mon Mar 03 18:30:38 2014	1393860638	2	98	100	98
Mon Mar 03 18:30:38 2014	1393860638	2	105	107	105
Mon Mar 03 18:30:38 2014	1393860638	2	113	115	113
Mon Mar 03 18:30:38 2014	1393860638	2	120	122	120
Mon Mar 03 18:30:38 2014	1393860638	2	126	128	126
Mon Mar 03 18:30:38 2014	1393860638	2	130	132	130
Mon Mar 03 18:30:38 2014	1393860638	2	134	136	134
Mon Mar 03 18:30:38 2014	1393860638	2	137	139	137
Mon Mar 03 18:30:38 2014	1393860638	2	145	147	144
Mon Mar 03 18:30:38 2014	1393860638	2	152	154	152
Mon Mar 03 18:30:38 2014	1393860638	2	160	162	160
Mon Mar 03 18:30:38 2014	1393860638	2	168	170	168
Mon Mar 03 18:30:38 2014	1393860638	2	176	178	176
Mon Mar 03 18:30:38 2014	1393860638	2	183	185	183
Mon Mar 03 18:30:38 2014	1393860638	2	192	194	191
Mon Mar 03 18:30:38 2014	1393860638	2	200	202	199
Mon Mar 03 18:30:38 2014	1393860638	2	208	209	207
