starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 17:42:45 2014	1393857765	2	28	30	27
Mon Mar 03 17:42:45 2014	1393857765	2	28	30	11
Mon Mar 03 17:42:45 2014	1393857765	2	32	33	27
Mon Mar 03 17:42:45 2014	1393857765	2	32	33	6
Mon Mar 03 17:42:45 2014	1393857765	2	39	41	25
Mon Mar 03 17:42:45 2014	1393857765	2	42	44	9
Mon Mar 03 17:42:45 2014	1393857765	2	48	50	48
Mon Mar 03 17:42:45 2014	1393857765	2	48	50	43
Mon Mar 03 17:42:45 2014	1393857765	2	49	50	45
Mon Mar 03 17:42:45 2014	1393857765	2	49	51	42
Mon Mar 03 17:42:45 2014	1393857765	2	49	51	31
Mon Mar 03 17:42:45 2014	1393857765	2	50	51	28
Mon Mar 03 17:42:45 2014	1393857765	2	52	54	50
Mon Mar 03 17:42:45 2014	1393857765	2	53	54	37
Mon Mar 03 17:42:45 2014	1393857765	2	53	55	40
Mon Mar 03 17:42:45 2014	1393857765	2	56	58	55
Mon Mar 03 17:42:45 2014	1393857765	2	56	58	56
Mon Mar 03 17:42:45 2014	1393857765	2	62	63	61
Mon Mar 03 17:42:45 2014	1393857765	2	62	64	61
Mon Mar 03 17:42:45 2014	1393857765	2	65	67	65
Mon Mar 03 17:42:45 2014	1393857765	2	73	75	68
Mon Mar 03 17:42:45 2014	1393857765	2	73	75	73
Mon Mar 03 17:42:45 2014	1393857765	2	74	75	73
Mon Mar 03 17:42:45 2014	1393857765	2	84	86	81
Mon Mar 03 17:42:45 2014	1393857765	2	85	86	82
Mon Mar 03 17:42:45 2014	1393857765	2	88	90	84
Mon Mar 03 17:42:45 2014	1393857765	2	88	90	81
Mon Mar 03 17:42:45 2014	1393857765	2	92	93	91
Mon Mar 03 17:42:45 2014	1393857765	1	94	96	91
Mon Mar 03 17:42:45 2014	1393857765	1	99	101	95
Mon Mar 03 17:42:45 2014	1393857765	1	103	104	102
Mon Mar 03 17:42:45 2014	1393857765	1	104	106	97
Mon Mar 03 17:42:45 2014	1393857765	1	106	107	101
Mon Mar 03 17:42:45 2014	1393857765	1	109	110	108
Mon Mar 03 17:42:45 2014	1393857765	1	109	111	105
Mon Mar 03 17:42:45 2014	1393857765	1	112	114	112
Mon Mar 03 17:42:45 2014	1393857765	1	123	125	115
Mon Mar 03 17:42:45 2014	1393857765	1	124	125	120
Mon Mar 03 17:42:45 2014	1393857765	1	126	127	120
Mon Mar 03 17:42:45 2014	1393857765	1	126	128	123
Mon Mar 03 17:42:45 2014	1393857765	1	130	131	127
Mon Mar 03 17:42:45 2014	1393857765	1	134	135	133
Mon Mar 03 17:42:45 2014	1393857765	1	134	135	130
Mon Mar 03 17:42:45 2014	1393857765	1	148	149	138
Mon Mar 03 17:42:45 2014	1393857765	1	149	150	139
Mon Mar 03 17:42:45 2014	1393857765	1	151	153	151
Mon Mar 03 17:42:45 2014	1393857765	1	154	155	147
Mon Mar 03 17:42:45 2014	1393857765	1	156	157	156
Mon Mar 03 17:42:45 2014	1393857765	1	161	163	159
Mon Mar 03 17:42:45 2014	1393857765	1	169	171	154
Mon Mar 03 17:42:45 2014	1393857765	1	172	173	172
Mon Mar 03 17:42:45 2014	1393857765	1	173	174	162
Mon Mar 03 17:42:45 2014	1393857765	1	176	177	169
Mon Mar 03 17:42:45 2014	1393857765	1	176	177	169
Mon Mar 03 17:42:45 2014	1393857765	1	176	178	173
Mon Mar 03 17:42:45 2014	1393857765	1	182	183	176
Mon Mar 03 17:42:45 2014	1393857765	1	183	184	179
Mon Mar 03 17:42:45 2014	1393857765	1	186	187	182
Mon Mar 03 17:42:45 2014	1393857765	1	186	187	185
Mon Mar 03 17:42:45 2014	1393857765	1	189	190	189
Mon Mar 03 17:42:45 2014	1393857765	1	192	193	192
Mon Mar 03 17:42:45 2014	1393857765	1	195	196	195
Mon Mar 03 17:42:45 2014	1393857765	1	204	205	203
Mon Mar 03 17:42:45 2014	1393857765	1	212	213	204
Mon Mar 03 17:42:45 2014	1393857765	1	215	216	212
Mon Mar 03 17:42:45 2014	1393857765	1	215	216	212
Mon Mar 03 17:42:45 2014	1393857765	1	218	219	204
Mon Mar 03 17:42:45 2014	1393857765	1	218	219	211
Mon Mar 03 17:42:48 2014	1393857768	0	220	220	219
Mon Mar 03 17:42:45 2014	1393857765	1	219	220	218
