starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 17:24:48 2014	1393856688	3	106	109	57
Mon Mar 03 17:24:48 2014	1393856688	3	117	120	75
Mon Mar 03 17:24:48 2014	1393856688	3	131	134	131
Mon Mar 03 17:24:48 2014	1393856688	3	132	135	100
Mon Mar 03 17:24:48 2014	1393856688	3	135	138	117
Mon Mar 03 17:24:48 2014	1393856688	3	135	138	60
Mon Mar 03 17:24:48 2014	1393856688	3	135	138	89
Mon Mar 03 17:24:48 2014	1393856688	3	135	138	124
Mon Mar 03 17:24:48 2014	1393856688	3	155	158	149
Mon Mar 03 17:24:48 2014	1393856688	3	156	158	142
Mon Mar 03 17:24:48 2014	1393856688	3	157	159	146
Mon Mar 03 17:24:48 2014	1393856688	3	170	173	131
Mon Mar 03 17:24:48 2014	1393856688	2	190	192	155
Mon Mar 03 17:24:48 2014	1393856688	3	190	193	148
Mon Mar 03 17:24:48 2014	1393856688	3	190	193	179
Mon Mar 03 17:24:48 2014	1393856688	3	209	211	199
Mon Mar 03 17:24:48 2014	1393856688	3	209	212	180
Mon Mar 03 17:24:48 2014	1393856688	3	211	213	201
Mon Mar 03 17:24:48 2014	1393856688	2	214	216	197
Mon Mar 03 17:24:48 2014	1393856688	2	222	224	205
Mon Mar 03 17:24:48 2014	1393856688	3	222	225	194
Mon Mar 03 17:24:48 2014	1393856688	3	227	230	210
Mon Mar 03 17:24:48 2014	1393856688	3	227	230	204
Mon Mar 03 17:24:48 2014	1393856688	2	229	232	163
Mon Mar 03 17:24:48 2014	1393856688	2	230	232	198
Mon Mar 03 17:24:48 2014	1393856688	3	236	239	236
Mon Mar 03 17:24:48 2014	1393856688	3	237	239	221
Mon Mar 03 17:24:48 2014	1393856688	3	242	245	237
Mon Mar 03 17:24:48 2014	1393856688	3	242	245	226
Mon Mar 03 17:24:48 2014	1393856688	2	248	250	247
Mon Mar 03 17:24:48 2014	1393856688	2	251	253	246
Mon Mar 03 17:24:48 2014	1393856688	3	284	287	260
Mon Mar 03 17:24:48 2014	1393856688	2	290	292	270
Mon Mar 03 17:24:48 2014	1393856688	2	309	311	309
Mon Mar 03 17:24:48 2014	1393856688	2	313	316	313
Mon Mar 03 17:24:48 2014	1393856688	2	316	319	280
Mon Mar 03 17:24:48 2014	1393856688	2	317	319	283
Mon Mar 03 17:24:48 2014	1393856688	2	321	324	316
Mon Mar 03 17:24:48 2014	1393856688	2	325	327	302
Mon Mar 03 17:24:48 2014	1393856688	2	325	327	310
Mon Mar 03 17:24:48 2014	1393856688	2	330	332	303
Mon Mar 03 17:24:48 2014	1393856688	2	331	333	330
Mon Mar 03 17:24:48 2014	1393856688	2	333	336	330
Mon Mar 03 17:24:48 2014	1393856688	2	336	339	325
Mon Mar 03 17:24:48 2014	1393856688	2	343	346	343
Mon Mar 03 17:24:48 2014	1393856688	2	355	357	350
Mon Mar 03 17:24:48 2014	1393856688	2	366	368	360
Mon Mar 03 17:24:48 2014	1393856688	2	367	369	359
Mon Mar 03 17:24:48 2014	1393856688	2	398	400	388
