starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 17:26:38 2014	1393856798	3	57	60	41
Mon Mar 03 17:26:38 2014	1393856798	3	77	80	76
Mon Mar 03 17:26:38 2014	1393856798	3	77	80	53
Mon Mar 03 17:26:38 2014	1393856798	3	78	81	67
Mon Mar 03 17:26:38 2014	1393856798	3	82	85	82
Mon Mar 03 17:26:38 2014	1393856798	3	90	93	86
Mon Mar 03 17:26:38 2014	1393856798	3	94	98	50
Mon Mar 03 17:26:38 2014	1393856798	3	94	98	90
Mon Mar 03 17:26:38 2014	1393856798	3	103	106	91
Mon Mar 03 17:26:38 2014	1393856798	3	117	120	94
Mon Mar 03 17:26:38 2014	1393856798	3	138	141	113
Mon Mar 03 17:26:38 2014	1393856798	3	138	141	101
Mon Mar 03 17:26:38 2014	1393856798	3	149	151	147
Mon Mar 03 17:26:38 2014	1393856798	3	149	151	118
Mon Mar 03 17:26:38 2014	1393856798	3	149	152	143
Mon Mar 03 17:26:38 2014	1393856798	3	149	152	139
Mon Mar 03 17:26:38 2014	1393856798	3	154	157	125
Mon Mar 03 17:26:38 2014	1393856798	3	154	157	138
Mon Mar 03 17:26:38 2014	1393856798	3	154	157	121
Mon Mar 03 17:26:38 2014	1393856798	3	155	157	147
Mon Mar 03 17:26:38 2014	1393856798	3	173	176	172
Mon Mar 03 17:26:38 2014	1393856798	3	189	192	176
Mon Mar 03 17:26:38 2014	1393856798	3	190	192	173
Mon Mar 03 17:26:38 2014	1393856798	3	190	193	184
Mon Mar 03 17:26:38 2014	1393856798	3	190	193	189
Mon Mar 03 17:26:38 2014	1393856798	3	201	203	198
Mon Mar 03 17:26:38 2014	1393856798	3	202	205	190
Mon Mar 03 17:26:38 2014	1393856798	2	218	220	217
Mon Mar 03 17:26:38 2014	1393856798	2	226	229	217
Mon Mar 03 17:26:38 2014	1393856798	2	244	246	232
Mon Mar 03 17:26:38 2014	1393856798	2	250	252	234
Mon Mar 03 17:26:38 2014	1393856798	2	253	255	230
Mon Mar 03 17:26:38 2014	1393856798	2	254	256	247
Mon Mar 03 17:26:38 2014	1393856798	2	265	267	262
Mon Mar 03 17:26:38 2014	1393856798	2	265	268	252
Mon Mar 03 17:26:38 2014	1393856798	2	272	275	272
